"guildID","aktion","warnanzahl"
"943483956664356894",Timeout,3
"882684482551943178",Timeout,3
"925729625580113951",Timeout,3
"953379025311641640",Timeout,1
"933706031517802536",Timeout,3
"965566481322606592",Kick,3
"925729625580113951",Kick,5
"925729625580113951",Ban,10
"973267734597087272",Timeout,3
"918191764312051793",Timeout,3
"960155309589016618",Timeout,2
"966811756376776724",Timeout,3
"965566481322606592",Timeout,2
"975128752742875156",Timeout,3
"950446690802995220",Kick,10
"969657096570302514",Timeout,3
"983076509629677618",Timeout,3
"983076509629677618",Kick,10
"984083592110039120",Timeout,5
"973890179892936744",Ban,4
"960991044302946354",Timeout,1
"973890179892936744",Timeout,1
"973890179892936744",Timeout,2
"796793045516681257",Timeout,1
"989875687412346940",Timeout,2
"853662631130300458",Timeout,2
"777886844334505995",Timeout,2
"777886844334505995",Ban,6
"988321667522629683",Kick,2
"988321667522629683",Ban,3
"978345087912280104",Timeout,3
"978345087912280104",Kick,6
"978345087912280104",Ban,7
"960991044302946354",Timeout,2
"971441719222599720",Timeout,5
"989961082833608795",Timeout,5
"923763667747635271",Timeout,3
"923763667747635271",Kick,5
"944785491956477952",Timeout,2
"944785491956477952",Kick,4
"944785491956477952",Ban,5
"909422299587964988",Kick,5
"909422299587964988",Timeout,3
"909422299587964988",Ban,8
"949281699899007037",Kick,2
"957242463284764732",Timeout,3
"957242463284764732",Kick,6
"1009502426061086801",Ban,10
"799670432995213342",Timeout,2
"1009124566544695357",Timeout,3
"1009124566544695357",Kick,6
"1009875569271377921",Timeout,10
"902646143303954562",Timeout,5
"902646143303954562",Kick,10
"903725994907693096",Timeout,1
"858329106726518794",Timeout,8
"858329106726518794",Timeout,9
"858329106726518794",Kick,10
"1013884961583022250",Timeout,3
"1014116444897804408",Timeout,3
"1019243091267424287",Kick,1
"1019243091267424287",Timeout,10
"1008758902990569562",Timeout,1
"1100073942519140423",Timeout,5
"1100073942519140423",Timeout,10
"1104829063178227772",Kick,3
"1001915266055274689",Timeout,3
"1079095182978469908",Timeout,2
"1112793054097715323",Timeout,3
"1113114453970518016",Timeout,3
"1112707194241171496",Timeout,2
"1114152687341142059",Timeout,2
"1100508351206543482",Ban,5
"1113804338423414804",Timeout,10
"1113804338423414804",Timeout,3
"1107386014311391323",Timeout,5
"1117418032441081878",Timeout,5
"1084835668104061040",Timeout,3
"1117851639253053526",Timeout,3
"1104102467504967803",Timeout,3
"1120705348739797034",Timeout,3
"1118574050625720410",Timeout,3
"1118574050625720410",Timeout,6
"1118574050625720410",Kick,9
"1104102467504967803",Timeout,5
"1088541143748333650",Ban,4
"1119907005956636692",Timeout,3
"1119907005956636692",Kick,5
"1119907005956636692",Ban,10
"1097921696750637166",Timeout,1
"1097921696750637166",Timeout,2
"1124045357052076084",Timeout,5
"1124045357052076084",Timeout,9
"1124045357052076084",Kick,10
"1112191800136966154",Timeout,10
"1130862156875837510",Ban,1
"965697344341422121",Timeout,4
"965697344341422121",Timeout,8
"965697344341422121",Kick,10
"1090706468573032448",Timeout,10
"1089814668798869525",Kick,3
"1089814668798869525",Ban,8
"1127945414377750528",Timeout,10
"937398557286228010",Timeout,2
"1007205011064897536",Timeout,3
"1136036031183994970",Timeout,3
"1137462310110232616",Timeout,5
"1125066301417734176",Timeout,5
"1057014848321499236",Timeout,1
"1139950462083285022",Timeout,3
"1139950462083285022",Kick,5
"1120674994310098995",Timeout,3
"1141828814968717443",Timeout,3
"1141828814968717443",Kick,5
"1141857349234065479",Timeout,3
"1141860423625359391",Timeout,3
"1141860423625359391",Kick,5
"1141859088561618976",Timeout,3
"1141859088561618976",Kick,5
"1137781237747040377",Kick,1
"1137781237747040377",Timeout,2
"1137781237747040377",Timeout,3
"1089989933969715280",Timeout,1
"1148919973218107455",Timeout,1
"1151748076365684822",Timeout,3
"1137062104155820045",Timeout,2
"1138535215288041514",Kick,5
"1136079229960851479",Timeout,3
"1157013487378247781",Timeout,3
"1157013487378247781",Ban,6
"1161634391102062682",Kick,3
"1136692350882693140",Timeout,3
"1162684017968152716",Timeout,5
"1162684017968152716",Timeout,3
"1146824179258245170",Ban,2
"1153344401733587037",Kick,3
"1057014848321499236",Timeout,3
"1139566416228536340",Ban,4
"1167828066593149030",Kick,3
"1169387882746753146",Timeout,3
