"guildID","channelID","zahl"
"962273723786874890","962273725171003407",0
"743767102971707453","962796368836067430",425
"933706031517802536","960227772192653332",1725
"964857694609616906","964870683068891146",10
"953379025311641640","964736342112206848",8
"925729625580113951","963062026173816882",6816
"968586119207845888","968949681742839868",1
"933706031517802536","960227772192653332",1725
"892080636645486683","903907597319561236",152
"968162980946673756","968162983056379920",829
"877291515838361690","972544219522686987",225
"966978675251744779","972966325439848508",320
"968517772365676565","968517773653319689",58
"965566481322606592","975374698999336970",387
"973496253658849300","976354983647801344",158
"646045583093530635","977299572823048192",11
"973984199545602148","973984200506114139",28
"897900673931284530","978985089922904064",36
"896713953412001793","980245523346898984",646
"980820559065661511","981085260861300737",329
"984083592110039120","984128676394332221",334
"984828890755268639","984832408190861362",546
"986265753005199390","986283098192900167",3
"952132126378172426","952132126973788174",0
"977632897840349204","988084877280809020",86
"974804274414497802","974941973398061056",45
"981988517594923008","981988518047940652",2
"973289734057132092","973296287501930506",82
"983347878737117254","988909610268237835",0
"992167006033956874","992167641089310750",1
"971441719222599720","991685849097961482",64
"973890179892936744","986535566839537704",42
"994332164768403596","1103003440705187980",6204
"994637056192032768","994884227730518036",11
"962405929779867718","988882839334428773",13
"973291000929878087","982681947249713232",10000
"960991044302946354","995607924552503436",656
"996816540806696980","996816541645545517",0
"997609301617156187","997620483044421653",135
"997495642823872654","997608875056439388",25
"956229444761161758","996068972527104101",41
"909422299587964988","1001513051331248228",0
"1002497204008783922","1002497204726014021",4
"983021996713586778","1000761208086990868",2
"1003667793381691392","1003711829664608316",21
"1003958308283109387","1004035962004840548",11
"993465450484731925","1004311450145259550",48
"993991035485179954","994209519896899654",81
"995757335379185724","1004501563986935879",248
"990968195408089128","1005139902721175594",99
"881605932377862194","928300979898699856",0
"983384134439292938","1006074670904250408",10
"957242463284764732","1010279848406687814",0
"1006165536134144111","1007559681465663499",129
"999608734261190698","1008479523555246101",78
"992875678284390432","1004366399298338886",15
"994921452237238362","1010562980326412348",8
"963804023100698645","1011644475245862912",4
"1011580684680318997","1011580685254922331",0
"967408995809759232","1012087230623404032",91
"768228694736371732","768228694736371735",2
"993887751785168906","1010622339169386659",241
"937793977892077668","1013058112195940392",216
"986322560532758579","1013088552076185601",30
"1013151935202873345","1013482854883278918",2000
"939887880598331423","940610017613201428",2562
"997149390206673016","1013842866876985385",318
"1014116444897804408","1014116446768463966",30
"1014445347713593354","1014469138195955752",244
"979447141678317669","1014815744531365888",48
"1009875569271377921","1009885296445366404",31
"902646143303954562","1015029513165492235",23
"998640957211820133","998642077258764419",0
"1015556873648341023","1018076324662890516",2831
"1015901329698336831","1015948256162873424",8
"1015927306130300958","1015952718868791376",1
"958014031157927957","1016005595297497139",1
"1015689773597327391","1016005790798200883",5
"968206148413063238","1016770449771868242",157
"982644059464159282","999971642648318014",28
"1014140264270545016","1016646164373839902",127
"1015504622997217280","1017094993514614815",184
"1019212678507536414","1019481405153087558",6
"1019243091267424287","1020996095716892712",40
"1010878224869380137","1010991282224644156",444
"810089469314990101","1022207183246590102",102
"854072033494958112","1022207686986694686",14
"989961082833608795","1023472219755659324",0
"931796676774092842","1025376965676511282",751
"916429769007067157","1025468549290012762",3410
"966697187813773394","1025671591071326291",25
"925729625580113951","1025682904048742450",7
"655800065226440725","1025802301652336780",9
"1025715734489350204","1025715734489350207",2
"1044625104379858944","1096409110368489512",474
"1101244141758861422","1102254648326365285",16
"1035176586485440553","1103020773477732462",205
"1023650258032525322","1092010263676469318",7
"1084117483587375135","1097963358629666826",555
"1038067079938576394","1096743254730477669",3584
"912454427162578964","1032202866607263775",3342
"1101979915269705809","1103451931172667412",35
"1086651557707268157","1098290651440885760",92
"1065307487823200256","1100201290048491590",113
"1072600963946381332","1088348693754814524",1065
"1047432819300904971","1099778035185635378",81
"1092832016824799315","1096066882546708560",163
"1091864126302724109","1092230719092297830",1484
"960055508415426570","1049346982407323648",4
"1095310294110187560","1095408002447708161",438
"1094756829805957232","1099778305827278969",8
"1061674451965583420","1101896449312182414",86
"1001108794090213446","1001204050026574007",1807
"1026202595125104651","1026222485571637248",41
"1093039748282589294","1097166895238610954",37
"1097849240954355784","1097913663991591092",354
"1097882210746515566","1099754519711199373",58
"961317716554309712","961317899576946718",0
"1057425944807211050","1083111273635524658",549
"981978173015212112","982264864221319228",0
"1068934260729319484","1069974573489078373",59
"1047228829866938480","1062820517318500444",112
"1087758054486982716","1093861175181180998",101
"1025086724105318471","1101822337432690789",93
"975118914667315302","1056326131772571750",1812
"1021415597713658018","1021416127198400532",2126
"1097430178499674185","1107996224075862016",398
"1050533835999301745","1108107036689969393",129
"1099037921086017548","1108444014434328616",1
"1077601298251251802","1081887673016406016",22
"1076501989472604160","1098179641962934302",47
"1102170939594125403","1109049446571982949",14
"1105475162448609412","1106434877500436571",0
"1107681890820956190","1107709620945948792",0
"1079807502113316896","1090273279681515590",697
"1109913328119189514","1109929406857752658",116
"1109498183496769627","1109700893965832342",10
"1076607061967765584","1076852699213074482",147
"988081985488564266","1081874968838688809",49
"1109409147046346865","1110536617074110494",18
"1007991228471726131","1107965537788645476",0
"1110616763655278706","1138478759092174940",109
"967165248685621388","968194206994685982",658
"1104836116617642084","1105535936860794880",28
"771473974328426516","1011010517734797412",7
"1014554815050809344","1111607966504853544",57
"1094292887207936110","1094348317724520538",1
"1111641898357096490","1111656649174818947",0
"1108726404662702151","1111704898887745627",3
"1108108967751721043","1111671353049882727",5247
"1111637956009132114","1111637958215344195",1
"1109236773135065138","1109237284676567100",42
"1112323213423300669","1112381137768161280",2
"1111766527344132252","1112446302337388584",4
"872478257151344690","1104042840679518358",1002
"1112085823001731184","1113128608676991066",1
"1113114453970518016","1113114456193499246",0
"1113109061785878532","1113162754556174429",500
"1112838072434958410","1113169142816718889",15
"1113166216362729586","1113184579268911148",1
"1112749900241829939","1112757935643303997",88
"829790315636326400","1113545071883730954",0
"1110855241181708339","1113784571486539776",235
"1113419787859673218","1113988501705326723",19
"1111793322076422294","1112002246448791564",36
"1038737168870416384","1109235251156365434",30
"1112653905734668318","1112793847328677979",21
"852549862330335292","1114641988487233697",0
"875649296148606986","1111943446706532372",0
"1107755234886955030","1114981198352089239",264
"1017109101773332571","1089991252839239780",339
"1095414084737957959","1095597461478834196",59
"1114625926802722948","1115013010231144449",5
"1115658632755941447","1116021423861936258",3
"1101181359017431121","1105093696082432050",127
"1116803375959388310","1116822427054395402",2
"1112414357876391989","1112478862920646766",93
"1080863154382307380","1117348241651011694",69
"1108009982542221382","1115613617853829211",43
"1089280831702446180","1090858764330086400",5
"1118248705661861938","1118982057348042752",1
"1113822940937596989","1119301562267877477",31
"1107751716234989699","1110986053189390437",7
"1102623384384315514","1119512019339583490",192
"1120401830757806232","1120405390253883392",0
"1120067144604987532","1120757667498053722",3
"1093867447041392710","1120983087652806686",7
"1121115497941975072","1121121589879111800",21
"1121350028594774046","1121350029962121330",1
"1035972791616417833","1121553124142895257",36
"1048612433859707062","1121697185826881556",73
"1119690788092268634","1122143220311269486",20
"1118540965964157019","1122450772190306344",22
"1089328006880833626","1122611958315765882",310
"1122627745898315837","1122632688793309184",3
"1122902197835927698","1122918747414466722",7
"1122896633206689902","1122909089291313172",0
"1122968746999431269","1122980207872200754",0
"1113860538531848223","1123141825616683109",47
"1116994462812479501","1123346962872279060",0
"1080896770671915018","1081635829056798731",39
"1088541143748333650","1124308874816655470",267
"893782917619273788","1124805586140278924",14
"1008126803812036720","1067181459254808627",1242
"1115943092852375653","1124706791041806346",1
"1114843626078474270","1125089735208095796",1
"1125433246264610867","1125447600892555434",46
"1116732536941465650","1125812044239745164",107
"1126300307899547721","1126347224733990973",4
"1123624155682709534","1126475681354764348",172
"1125108999533105313","1126552988102688912",14
"1120771161870049372","1126747154644467793",1423
"1059249223381557369","1124739454259708024",107
"988054380836175902","1129048559656898700",2004
"1129150316978376797","1129168289218707478",0
"1129475476243619920","1129494592031567963",4
"981095284643881000","1129834120931987646",16
"1088496562281394226","1088532918084837486",23
"1070405553911763075","1071441093054451742",140
"1130056583854952458","1130151841615859792",8
"1103316644631154710","1128981260505718876",38
"1130823157373218906","1130896392043376753",1
"1117392829312946276","1129861624006725773",251
"1122873632771801211","1131237016324014280",15
"1130135249674850374","1134858385217572936",59
"1131575135648882888","1131594543683350528",1
