"guildID","titel","beschreibung","preis","roleID"
"925729625580113951",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,""
"984928443173068880",Arsch,arsch halt,1000,""
"948595942448320653",asdf,test,2,""
"964960515552059442",Bitcoin,Bitcoin,100,""
"912454427162578964",Urlaub,Du hast viel gearbeitet und kannst nun in den Urlaub gehen!,50000,""
"939887880598331423",Trecken,Test,1000,""
"1002963448646340699",Juwel Rang,Kaufe dir den Juwel Rang,5000,""
"1002963448646340699",Mythos Rang,Kaufe ihmn dir,0,""
"768228694736371732",test,"1",1,""
"937793977892077668",Cooki-Fresser,Ihr fresst den ganzen Tag Cookies ...,500,""
"937793977892077668",Elon Musk,Ihr seit Wirklich einfach nur Zu reich (Elon Musk).,10000,""
"1018445925972201523",Premium (1 Tag),Du erhälsts Premium für 1 Tag lang ^^,250,""
"1003577766173753374",Wichtiger,LOL,200,""
"983409995720822804",lll,nob,10,""
"1019597631128870962",Test,das ist ein test <@963146343059189840>,10,""
"1025650432774778880",Döner,Essbar,100,""
"1099347634357018779",ghk,egrzhn,500,""
"1096139477983965347",Heiliger-Bambus,Das Heiligste item was man kaufen kann.,10000,""
"925729625580113951",Waldanteil von Vulpos Wald,"""Kaufe"" einen Anteil an Vulpos Wald und erhalte eine tolle spezielle Rolle.",10000,"1104132507231858839"
"1079807502113316896",Keks,Einfach ein toller Keks,1000,"1104492368507457587"
"1079807502113316896",Cookiedealer,Werde offiziell zum Keks Dealer und mach die Chats unsicher!,33000,"1104492909472006184"
"1079807502113316896",Cookieking,Werde der König der Kekse!,100000,"1104492604252508170"
"1079807502113316896",Milliardär,Werde zum Mark Zuckerberg der Kekse!,1000000,"1104500113755353258"
"1061392171074334794",Kush,Du musst diese Droge erst Farmen!!!,0,"1107261725499203584"
"988081985488564266",Premium 🎖️,"Die erste Rolle. Ist zwar Premium, aber schon ein Anfang.",1500,"1078372176094302338"
"988081985488564266",VIP 💎,Wow. Du bist nun VIP. Du hast nun Zugriff auf die VIP Lounge!,4000,"1078377383977033748"
"988081985488564266",VIP 💎 💎,Du bist schon ziemlich weit und hast sehr viele Kekse. Bist nun über VIP. Tolle Leistung!,10000,"1078377685669130431"
"988081985488564266",Meister ⛩️,"Du bist nun der Meister der Kekse, und hast sogar eine private Ausstellung von den Keksen weltweit! Bald bist du als Milionär bekannt. Viel Glück! 🤑💶",150000,"1078378759469678704"
"988081985488564266",Milionär 🏧💶💶,OMG! Du bist Milionär! 🫢 Du hast die beste Lounge freigeschaltet: die Milionär Lounge. 🥳 Herzlichen Glückwunsch. 🫡 Vielen Dank für deine Aktivität.,1000000,"1078379811212378122"
"1112127101198422056",Premium Rang,Rang im MC Server,500,"1113184191983665254"
"1100508351206543482",VIP (1 Woche),Kaufe eine Woche VIP!,100000,
"1118231376399958098",Bananen,lecker essen,20,
"971131470888448020",buch,ein tolles buch,100,
"971131470888448020",Münze,Eine tolle Münze,1,
"1044625104379858944",VIP Rang,Hol dir unseren VIP Rang für 4000 cookies und damit Zugriff auf exklusive Channels!,4000,"1113791703351050360"
"1044625104379858944",VIP+ Rang,Hol dir unseren VIP+ Rang für 7500 Cookies und damit Zugriff auf viele exklusive Channels!,7500,"1114090051920470026"
"1120771161870049372",Bier 🍻,Trinke Bier!,5,
"1120771161870049372",Stift 🖋,Schreibe Nachrichten!,40,
"1087015502276198420",Bauer,"Sehr nützlich, am Anfang x2 Wert",100,
"1087015502276198420",Springer,L,200,
"1087015502276198420",Läufer,Der Diagonale Hase,300,
"1087015502276198420",Turm,Der gerade Hase,500,
"1087015502276198420",Dame,Deine Queen ;),1000,
"1087015502276198420",König,Der wichtige Hase,5000,
"1087015502276198420",Schachbrett,OG,10000,
"1087015502276198420",Deine Mum,extrem käuflich,69,
"1120771161870049372",Klo 🚽,"Geh auf Klo, wenn du musst",200,
"1120771161870049372",Gaming Setup 🖥,Zocke Spiele!,500,
"1113860538531848223",community mitglied,wede Mitglied der community und mache werbungrolle:,1000,"1127133539352203314"
"1107741292785582160",Döner,Essen,6,
"1107741292785582160",admin rechte,schiche dem owner ein bild von dem kauf zu und damm bekommst du admin rechte,100,
"1107741292785582160",Spende,Spende für keine ahnung was,1,
"1127234665149890562",Uprank,einen uprank,100000,"1127243204195000340"
"1097921696750637166",Eigener Rolle,Du kannst dir deinen eigene Rolle machen lassen mit Name und Farbe für immer.,5000,
