"guildID","msgID","zahl"
"905892043807678504","999710032495120435",67
"909422299587964988","1001513929052274748",17
"1002497204008783922","1002529625408294932",11
"973289734057132092","1003383413887225936",65
"993465450484731925","1006583255899832360",23
"957242463284764732","1009458566819749988",29
"811730903482761246","1010672742745505843",33
"948595942448320653","1012254314368073738",39
"966811756376776724","1012438792826798110",64
"991083033341886524","1012973687982538802",49
"986322560532758579","1013211265193230467",5
"1011580684680318997","1013348129912926240",51
"966811756376776724","1013384944015396944",14
"1013151935202873345","1013480499034996808",32
"768228694736371732","1013506951927312425",12
"683059539054297159","1013507275824050206",42
"768228694736371732","1013520406361149440",65
"1014116444897804408","1015169179986448385",42
"982644059464159282","1015246539318382652",80
"982644059464159282","1015657167119982663",20
"998640957211820133","1016035928604692480",36
"1014140264270545016","1016667393050808382",50
"967408995809759232","1017401945775939707",4
"997149390206673016","1017427424121716747",63
"937793977892077668","1017662784047157378",68
"979142025112858685","1017865037362237530",43
"1015901329698336831","1018404994413772800",31
"994332164768403596","1018409001697935460",79
"1015566956885192734","1019220995300655184",26
"968206148413063238","1019238331936145438",34
"1019243091267424287","1020671050507374663",46
"1003577766173753374","1020713370980196456",29
"1014445347713593354","1021504389715869777",90
"854072033494958112","1022209121409323088",38
"854072033494958112","1022209298148892672",30
"854072033494958112","1022212272766075021",64
"941803156633956362","1023601669440798790",59
"1020719124478968019","1023946619407839322",26
"949612614466535424","1025375119209672715",75
"655800065226440725","1025802896245260400",18
"1101244141758861422","1103020820768489584",31
"988081985488564266","1103310463623778335",38
"955794727784034334","1104372954105663568",24
"1096139477983965347","1104527947521593445",49
"997838508360216737","1104767924322959424",27
"1096545484941828218","1107285541923332116",42
"1096545484941828218","1107285543374573578",55
"1096545484941828218","1107285690582044795",16
"1096545484941828218","1107285692347858994",21
"1097882210746515566","1108647812666765322",27
"1047111184064716861","1110975499091587235",36
"1111641898357096490","1111656941933047858",28
"1111637956009132114","1111696638470258772",11
"955794727784034334","1112326046050693191",5
"1057014848321499236","1113102803901095946",27
"1061431974113320971","1113517491545710662",24
"1112749900241829939","1113522161626382476",59
"829790315636326400","1113545322740854805",38
"1113930969360105502","1113941821563863050",49
"1076501989472604160","1114053359951953950",25
"1105975007512907847","1114308460134289408",58
"1100508351206543482","1115931691396104252",92
"1114845804675473438","1115972761085542480",35
"1115658632755941447","1116025001456439298",37
"1108726404662702151","1116761491492835422",69
"1112323213423300669","1119225997259194399",77
"1014554815050809344","1119592837655318528",38
"1110855241181708339","1120287954380783686",90
"1097430178499674185","1120970751755952220",18
"1112749900241829939","1121747318438371429",12
"1112749900241829939","1121987982891692123",18
"1113860538531848223","1123254846687027361",96
"1122896633206689902","1123398417780064287",20
"1065613505924964402","1124390218443788289",19
"1061674451965583420","1124574408581853366",61
"955794727784034334","1124624231519506443",1
"1061892417760022549","1126237251458838599",28
"975118914667315302","1127446585865949294",42
"1070405553911763075","1130222081041236178",29
"1059249223381557369","1130924024394948638",1
"1130135249674850374","1131458987766849536",19
"1130056583854952458","1132589204975652865",8
"947853231495721030","1132759128964595852",74
"1097921696750637166","1133178364614692955",59
"1007205011064897536","1134072867068330055",18
"1130135249674850374","1134858857093533787",21
"1088541143748333650","1135343263990173706",48
"1065613505924964402","1135882432931971166",13
"1079807502113316896","1138126551578325123",76
"1137696385647509534","1139276870752415754",79
"1137696385647509534","1139276998007599104",52
"1089221438185144440","1139304655214628954",88
"1079807502113316896","1139896787902152784",33
"1139913380551987282","1139964909791236146",36
"1088496562281394226","1140012585031303178",38
"1089141935442231346","1140680894156394576",34
"1121427167721558107","1142768857241616524",84
"1142831618319454338","1143197386584371321",11
"1117063076085256222","1143505569248968785",25
"1108810975416692799","1146378514346557511",65
"1146480028209643560","1146748137814376499",29
"1010715587581853897","1146776744574066851",8
"1141786368247345302","1146873116304355388",64
"1047228829866938480","1148230180180078592",70
"1137853974100324365","1148238193435619448",30
"1148680537989455892","1148710387995390022",40
"1093901872592588940","1150025971865485322",24
"1137062104155820045","1152712117171011675",65
"1121427167721558107","1153687025136976032",71
"1114788618536488960","1155361926361128960",21
"1105527232358776852","1157182484220489728",14
"809043069608919070","1158111473311158483",35
"809043069608919070","1158111486628077588",78
"1148313761388691566","1158748177361543268",16
"1159002873712095262","1159170495959281776",19
"1065266225921392710","1162734197786562590",23
"1153320944463519835","1162767914429071502",8
"1157439350196424816","1162788455097585814",24
"1142119099309228092","1163847201932464259",47
"1166121377615585340","1166200769758908426",33
"1166121377615585340","1166201292817969204",13
"1165443516441313410","1167073943883100180",66
"1107735209056677928","1167912111129776210",39
"1154611308801564745","1168282862265573478",14
"1159896999336882176","1169572808213418014",81
"925729625580113951","1169615414620328046",80
