"msg","guildID","channelID"
"<a:winken:964852677945204786> **Tschüss %mention(%member)**
Schade dass du uns verlassen hast.","925729625580113951","925735366210768896"
"Tschüss %member, schade, dass du weg bist!","877291515838361690","965704212673593476"
"%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl
hat uns Verlassen","966978675251744779","974319342034493471"
👋 %member hat %guild verlassen. Tschüss!,"973289734057132092","1008464906405806140"
| %name-Member | hat den Server verlassen. Er/Sie ist nun kein wahrer Gamer mehr.,"984828890755268639","985546210406449202"
%name | Hat den Server verlassen.,"994332164768403596","994341879263019129"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"951776421355868231","1000682012480389220"
%mention hat den Server verlassen. Tschüss!,"974804274414497802","998499116063674439"
%mention hat verlassen! Noch %usercount Member ,"951776421355868231","1000682012480389220"
%mention hat den Server verladen. Tschüss!,"1002509879451332669","1002509879904325683"
%member left.,"1012026771018883172","1012027786564739153"
%name hat denn Server verlassen,"948595942448320653","1016357042082033694"
"<a:Blobleave:984126334521466940> %name hat %guild **verlassen**. Wir wünschen ihm noch **viel Glück für sein weiteres Leben.** 
[`%usercount`]","984083592110039120","984083592110039123"
%mention hat %guild verlassen.,"768228694736371732","1018241129801601124"
%member-Member#0000 hat uns leider verlassen.,"1023539601920507904","1023540622105255946"
"<a:Blobleave:984072924132675628>**Tschö mit ö %name**. Schade, dass du weg bist.","933769612120694854","952974677897273424"
%name leaved %guild ,"1025374315300003860","1025388054531276870"
%name leaved the %guild,"1009841154243694624","1013061065128550501"
"Schade das du gehst, aber DANKE für die Schöne Zeit dir wir mit dir verbringen durften.
Wir hoffen das du eines Tages wiederkommen wirst.
Wir wünschen dir viel Spaß wo du auch hingehen wirst.
%mention
Auf Wiedersehen %member
Dein %guild ","937398557286228010","1100876000323190876"
"Hey, %mention schade das du gegangen bist☹️.
Wir hatten eine schöne zeit zusammen und wir hoffen das du einen guten Flug hast!





LG dein Staff Team","1096705029341188147","1096705029597048887"
"%member ist nun kein Bürger mehr von Diesem Staat.
Wir sind Leider nur noch %usercount Bürger!","1084192787198640139","1087790065603837952"
"%member | %name | %mention | %guild

Schade das du uns Verlässt","1023249968703741992","1023293148333621379"
%member Schade das du gehst ;(,"1108708098929066065","1108708099470147659"
"%member **hat den** %guild **Discord verlassen!**
Auf wiedersehen!
» Wir sind nun %usercount","1057609802387304499","1067799083059777576"
%mention-@Member ,"1109764959266680846","1109843546120392705"
%member hat den Park Verlassen,"1113390943492653097","1113393088690401280"
"%mention, hat uns leider verlassen. Nun sind wir nur noch #%usercount Mitglieder.","829790315636326400","1109857580425154640"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1114152687341142059","1114152688347795507"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1092359802375647292","1092359804032405589"
"%mention, hat uns leider verlassen. Nun sind wir nur noch #%usercount Mitglieder.","1114845804675473438","1114854737033052190"
Tschüss %mention du fliegst von %guild wir sind jetzt nur noch %usercount User auf diesem Server.,"1076501989472604160","1115883850195808317"
"%member 

Wiederschauen und Reingehauen","1040740183974351008","1040743403769569371"
"%name-Member 
User left","1116714698524610671","1116737453705932880"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1119628798325960794","1119648574444150794"
%mention Tried to swim in lava,"1120351802987122798","1120351803872120840"
Deine Pizzasorte war eine sehr Gute Entscheidung,"1120073762650476677","1120691244935434301"
"%member ist Milch holen gegangen🥛… 
Wir sind nun nur noch %usercount auf %guild!","1121350028594774046","1121525297569869945"
"%member

Tschüss und Viel Spaß Weiterhin!","1126819939152580608","1128696211231223810"
"%member hat sich leider von der Christianstun Army verabschiedet 😞
Hoffentlich kommst du wieder!","988081985488564266","1019231020400267374"
"%member auf %guild hat den server verlassen. Wir haben nun %usercount auf unseren server.
Viel spaß noch %name","1007205011064897536","1134077982282092604"
Schön das Sie da waren.,"1135278078059352175","1135278078558470246"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"913107980063502400","913107980516483095"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1143885092230537316","1144215296907952178"
"%name-member hat den Server leider verlassen 😢.

Viel Glück weiterhin wünscht dir 𝙎𝙆𝙔 Network!","1148919973218107455","1150836373364945036"
Leider haben sie den Discord von der Security Firma New York Verlassen schönen Tag noch,"1152211196225794150","1152233629821448202"
Hau rein war schön mir dir,"1148682943712198767","1148682944223907910"
%member-Member#0000 | Auf Wiedersehen 👋,"1157428925341905046","1157428926172364894"
%member-Member#0000 | Ich hoffe wir sehen uns wieder !,"1160210524550737960","1160218676121841694"
%member hat den hinter Ausgang genommen.,"1167117426408833044","1167411926498820149"
