"guild_id","message","channel_id"
"933706031517802536",GG %member! Du bist nun zu %level% cool! Mach weiter so!,Normal
"970045236841697390","Herzlichen Glückwunsch {user}, du hast erfolgreich Level {level} erreicht!",Normal
"966811756376776724","`🎉` **GG** %member, du bist nun **Level %level**. **Vielen Dank für deine Aktivität!**",Normal
"929442264642637834",glückwunsch %user du bist lv %level,Normal
"966978675251744779",<:Alarm:972970833494540318> **LEVELUP!** %member __du bist nun Level:__ **%level**,Normal
"984083592110039120",%member ist nun Level %level ~ HGW<a:xl_hotpinkhearts:984137919210065930>,Normal
"948310338602958888",Du hast ein neues Level erreicht herzlichen Glückwunsch🎉,Privat
"984928443173068880",<:snail_gg:1005529334158729398> %member hat Level **%level** erreicht! 🎉,Normal
"973289734057132092","%member, du bist jetzt Level %level! 🎉",Normal
"979481422815440897","","979673045918711819"
"925729625580113951","",Normal
"984828890755268639",Gratuliere %member ! Du bist jetzt Level %level. Danke für deine Aktivität!,Normal
"989238450467258418","",Normal
"905892043807678504","",Normal
"994332164768403596",<a:lvlup:1027653032340639814> | %member ist nun **Level %level**!,Normal
"994575472514056262","%member, du hast Level %level erreicht! Herzlichen Glückwunsch!",""
"965566481322606592","",Normal
"988078038531076146",%member hat **Level 2** erreicht! Jetzt ist er/sie näher an einer fertigen Rakete.,Normal
"1000557173593612408","","1002536900453736538"
"1003958308283109387",Du bist %level hgw %member,""
"1000832197319720960",<a:News:1002356610741567608> Du hast ein neues Level erreicht,""
"948595942448320653",%member hat Level %level erreicht,"1014576305922121839"
"957242463284764732",**Glückwunsch du bist nun level {level} <:pepelove:980178951035052102> **,"1007359949845835816"
"1011580684680318997",%member hat Level %level erreicht,"1011580685254922335"
"967408995809759232",lol du bist ein Level aufgestiegen 🎉,""
"962071608103673958",👏Claps! %member has reached level %level 👈,"1012272783331434556"
"768228694736371732","",Normal
"683059539054297159",Normal,Normal
"1009124566544695357","<:LX_FoxoLove:1012460410215071976> **__LEVEL AUFGESTIEGEN!__**  <:LX_FoxoLove:1012460410215071976> 
Hey %member, du bist **1 Level** Aufgestiegen. Du bist nun **Level %level**! <a:love:1013577786407014472> 

<:LX_PandaLurk:1012460112079769721> | Gucke dir gerne <#1013553242258550854> an, um alle Level-Vorteile anzusehen.","1013554993904758964"
"1014116444897804408",👏Claps! %member has reached level %level 👈,"1014116446575530008"
"1014445347713593354",Herzlichen Glückwunsch %member du hast das level %level erreicht!,"1014466930083627059"
"1011666623465267341","",Normal
"676115729124425737","","1000727247344377896"
"966428500011651102","",Normal
"937793977892077668","","967501099437260940"
"993887751785168906",GG %member du bist jetzt Level %level <:mxlxyay:1011377655402205246>,"994503078902517801"
"972184158665310239",HGW %member du bist jetzt auf der VirtualBSheep Community schon Level %level bleib schön Aktiv! 😁,"1018111561707036752"
"858329106726518794",%member hat soeben level %level erreicht!,Normal
"1018445925972201523",**Herzlichen Glückwunsch** __%member__ Du hast LvL **%level** erreicht <a:LuriaxConfetti:1019863149077336124><a:LuriaxCatRave:1019584593227173958><a:LuriaxConfetti:1019863149077336124>,"1021082887874949250"
"1013884961583022250",**<a:aSHG_Z_Lvlup:1020252784345493514>  Herzlichen Glückwunsch zum neuen Level** __%level__ **mach weiter so!!** %member,""
"1019243091267424287","",Privat
"938452996457631744",%member Du bist Level %level Mach weiter so,""
"1020719124478968019",%member ist auf level %level aufgestiegen!,"1022608521776340992"
"1019597631128870962","Hey %member du bist nun Level %level, Mach weiter so",""
"1023539601920507904",Hey %member! Du hast %level erreicht. Danke für deine Aktivität.,Normal
"916429769007067157","","1023574115908595763"
"1022933825069776936",<a:bier:1023627436736401552> | %member ist nun **LEVEL %level** | <a:trophae:1024696476561068062>,"1023134103823994900"
"655800065226440725",Herzlichen Glückwunsch du bist 1 Level Up!,Privat
"937398557286228010","","1130250353846272010"
"1044625104379858944",%member hat es geschafft %level zu erreichen.,"1073494798922694788"
