"guildid","channelid"
"939171507005968414","939922157096542268"
"932289801242173481","952206594144366662"
"916429769007067157","940280159393697852"
"958290691212050455","958309922871844884"
"918191764312051793","970286956514787339"
"925729625580113951","926458392959156224"
"966811756376776724","970657017876332584"
"970706615441449020","970719264271134760"
"968162980946673756","971730596596424734"
"950042849133592606","972464459551494194"
"877291515838361690","972542624504361010"
"966978675251744779","973151634320404501"
"975466086730436628","977547386014564362"
"965566481322606592","977852920513064980"
"906867698447822889","978678297821065226"
"968909601422573638","974028037299519518"
"897900673931284530","978990118767562782"
"973984199545602148","973984201336586357"
"973289734057132092","988799715292360744"
"984828890755268639","991197681055698944"
"978345087912280104","991308918192095352"
"992167006033956874","992167641089310750"
"947423228933070910","992449856889159711"
"994332164768403596","994459221577957446"
"998203664822980738","999391778702622780"
"996816540806696980","996849562536910958"
"909422299587964988","1001247602286796920"
"1007672670323753040","1009218723988648086"
"1009020828559613983","1009032349150875649"
"1012052642886856856","1012052644778487992"
"1014227449061580810","1014280170611408918"
"972605101422293123","1017097464546852874"
"1020315515111100476","1020315519875813448"
"810089469314990101","1022187534979186750"
"1008758902990569562","1008873167013564477"
"1023539601920507904","1023550962100617268"
"1022933825069776936","1025481455415087195"
"1044625104379858944","1097122097651785838"
"1079807502113316896","1087762401681735750"
"1025086724105318471","1105948462857584731"
"1086651557707268157","1086664680552005784"
"1009800305988350053","1094573513941192774"
"1035932858692407387","1109126774404694097"
"1110855241181708339","1112311829117554719"
"1112323213423300669","1112332264559353856"
"1104418518860054588","1104439473518948493"
"1116654296629522473","1116660890796834876"
"912454427162578964","1025866986925854740"
"1120351802987122798","1120355971152220210"
"1108009982542221382","1119986664274661446"
"1113109061785878532","1123202766970564608"
"1125467225504092281","1125470401280102443"
"1126824822371004509","1126825077439209473"
"1059674750751871087","1070413842674372749"
"1129475476243619920","1129484026395234404"
"1057780351818281020","1057785754694201444"
"1132672469833089036","1132912523742560286"
"1132623300862955532","1132927645017976833"
"1132605437942968390","1132974769537564692"
"797515422668292167","1133156271449706518"
"1134440178891640902","1134445040316465193"
"1127234665149890562","1127238853078560901"
"1103790135562211468","1103794942305914980"
"1136985545503952896","1137008450266742894"
"1137812906004709477","1137813582806003774"
"1138565131614289920","1138782707183259728"
"1139190607479324893","1139197498754343083"
"1139981250791219252","1141718283255562391"
"1137266851282423808","1144948662695370812"
"1150809829774987265","1150817914019127406"
"1148919973218107455","1150835781867417671"
"1143593227321081988","1143604569952235530"
"1136271955192991857","1136567452118032446"
"1104143779801333922","1104296752309354526"
"1099333791325094031","1165000945650913330"
