"guildID","name","output"
"933706031517802536",regeln,Halte dich an die Regeln oder du bekommst Strafen!
"933706031517802536",werbung,Mache gratis alle 2 Stunden in <#972404122571636736> Werbung mit Luma Advertising! Lade den Bot hier ein: 972404122571636736
"983347878737117254",Ghost,hallo
"984928443173068880",frage,"Hast du ansonsten noch eine Frage, oder kann das Ticket geschlossen werden?"
"977632897840349204",amogus,susy
"920968061526364210",ttt,t22
"933706031517802536",fragen,Hast du noch Fragen oder kann dein Ticket geschlossen werden?
"999711820262674522",Ticket Beendung,Hast du sonst noch Fragen? Wenn nicht wird das Ticket geschlossen.
"676115729124425737",tesz,äh
"997188963074834563",Tickets,"Hey, hast du noch weitere Fragen? Oder kann das Ticket geschlossen werden?"
"997188963074834563",Apply,Du kannst dich auf diesem Discord bewerben! (https://discord.gg/C2XfPZthnt)
"799670432995213342",hallo,wie gehts
"957242463284764732",test,.
"992875678284390432",ticket,ticket
"948595942448320653",moin,wie geht es
"811730903482761246",test,test
"948595942448320653",werbung,**Hi genau du. Dich meine ich.** **Schau dir gerne mal die Vorteile auf unserem Server an!** 🎟️ ▶️   dein Ticket wird schnellstmöglich bearbeitet 🫂 ▶️   Nettes Team 📰 ▶️   Jeder kann werbung machen <a:giveaway:934764219449110608> ▶️   Viele Giveaways 📊 ▶️   Viele Umfragen wo ihr mehr über denn DC Server bestimmen könnt <:twitch:977270525644652625> <:youtube:748178134335225917>  ▶️    Infos über Stream/Videos  **Darüber würden wir uns freuen** 🧍   ▶️   Das wir dich sehen  <a:boost:1001488060137095260>  ▶️   Das du denn Server boostest 🧍   ▶️   Das du deinen Freunden von dem Server erzählst🧍  ▶️▶️  **Es gibt gerde ein amazon gutschein zu gewinnen und noch mehr**  ▶️▶️ **Also join gerne **  https://discord.gg/xpDcreGPuu
"948595942448320653",Schau mal vorbei,**Hi genau du. Dich meine ich.** **Schau dir gerne mal die Vorteile auf unserem Server an!** 🎟️ ▶️   dein Ticket wird schnellstmöglich bearbeitet 🫂 ▶️   Nettes Team 📰 ▶️   Jeder kann werbung machen <a:giveaway:934764219449110608> ▶️   Viele Giveaways 📊 ▶️   Viele Umfragen wo ihr mehr über denn DC Server bestimmen könnt <:twitch:977270525644652625> <:youtube:748178134335225917>  ▶️    Infos über Stream/Videos  **Darüber würden wir uns freuen** 🧍   ▶️   Das wir dich sehen  <a:boost:1001488060137095260>  ▶️   Das du denn Server boostest 🧍   ▶️   Das du deinen Freunden von dem Server erzählst🧍  ▶️▶️  **Es gibt gerde ein amazon gutschein zu gewinnen und noch mehr**  ▶️▶️ **Also join gerne **  https://discord.gg/xpDcreGPuu
"1009124566544695357",test,test
"1012013249723637831",hello,Hallo und Herzlich Willkommen im Support.
"966811756376776724",Partner,"Erfüllst du die Anforderungen in <#1013205685124730993> unter ""Rolleninfos""?"
"768228694736371732",test,hey
"1019243091267424287",fragen,kann ich sonnst noch was tun oder kann das Ticket geschlossen werden
"962229370397798400",fragen,Hast du noch fragen
"1003577766173753374",Hallo,Hallo was ist ihr Anliegen?
"1003577766173753374",Anliegen,Sonst noch ein Anliegen?
"1003577766173753374",wobei,Hallo wobei kann man ihnen helfen?
"1021766119440257044",fragen,Haben sie noch Fragen oder kann ich das Ticket schließen?
"1021766119440257044",hallo,Hallo wie kann ich ihnen helfen
"1008758902990569562",Pierre,Pierre ist der Inhaber von 🪐 | PLΛNΞT ZΞR0 ! Er kümmert sich um die Server Einrichtung &-Verwaltung.
"1005119105868759162",hi,hehe
"925729625580113951",no hello,"Hallöchen! Bitte beschreibe dein Problem und schreib nicht nur ""hallo"" o.Ä.. https://nohello.net/de/"
"925729625580113951",fragen,Hast du noch Fragen oder können wir dein Ticket schließen ?
"1060633841947131925",Mitarbeiter Beschwerde,"Name:
Grund:
Beweise:
Ping: <@&1060633842362368001>"
"1089280831702446180",fragen,Hast du noch Fragen oder kann das Ticket geschlossen werden?
"1017765708735709184",Entbannung,"Bitte gib uns folgende Informationen 

Dein Name Discord:

Dein Roblox Name:

Wo wurdest du gebannt? 

Was war der grund für dein Ban? 

Von wem wurdest du gebannt?

Schick uns ein screen vom Banlog [gilt nur für discord] 

Wieso denkst du ist der Ban ungerecht?

Nenn uns deine gründe für eine Entbannung: 

Hast du vor dich zu bessern?"
"1017765708735709184",Warn,"Bitte gib uns folgende Informationen

Dein Name Discord:

Was war der Grund für dein Warn:

Von wem wurdest du verwarnt:

schick uns ein screen vom Warnlog:

Wieso denkst du ist der Warn ungerecht?"
"1017765708735709184",Timeout,"Bitte gib uns folgende Informationen

Dein Name Discord:

Was war der grund für dein Timeout:

Von wem wurdest du getimeoutet? 

schick uns ein screen von Timeoutlog:

Wie lange geht dein Timeout: 

Wieso denkst du ist der Timeout ungerecht?"
"1112979829717999616",Bewerbung,"Name:

Alter:

Schwächen:

Stärken:

Erfahrung: 

Wo hast du vorher gearbeitet:

Kennst du jemanden aus der Gang:"
"925729625580113951",Bewerben,Wir suchen derzeit noch Supporter. Danke für dein Interesse an unserem Team! Hier ist der Link: https://forms.gle/KpDzx3y7qHgr1wJF6
"1112825791542206466",Amid,ss
"1013540946052382942",Willkommen im Team,"Hallo und Herzlich willkommen im Server Team von California RolePlay German. Wir wünschen dir eine schöne Zeit bei uns.
MfG <@&1013540946111119502>"
"1013540946052382942",Wartezeit,"Bitte warte ein bisschen,wenn du innerhalb von 12 Stunden keine Rückmeldung bekommst dann Pinge bitte ein Teammitglied.
Danke für dein Verständnis."
"1104130430124433491",Hells,"Hallo lieber Gang Mitglied oder bürger,
Ein staff ist unterwegs.Wenn sie ein hören sprechen wollen dann sagen sie den Staff bescheid .**Nicht makiren kann zu ein time Out kommen** .Wenn ihnen am Ende etwas nicht gefallen hat machen sie ein Ticket über Beschwerden.
LG.staff team"
"1104130430124433491",bewerbung,Name: Vorname: Alter: Warum sollten wir dich nehmen: Stärken (min 2): Schwächen (min 2): Letzte Worte: Ping: <@&1105904575996768306> Unterschrift:
"1114152687341142059",Abgelehnt,"Sehr geehrter bewerber, 
Ihre Bewerbung wurde abgelehnt.
Grund: Sie erfüllen nicht die voraussetzungen um teil des CRP Teams zu werden
Viel glück beim nächsten mal
MfG <@939507783743733770>"
"1114152687341142059",angenommen,"Sehr geehrter bewerber, 
Ihre Bewerbung wurde angenommen
Herzlichen glückwunsch
wir freuen uns auf eine gute zusammenarbeit mit ihnen
MfG <@939507783743733770>*."
"1114152687341142059",rente,Bald Rente Opi 👴
