"autorID","ticketID","zeit","autorname","nachricht"
"824378909985341451","1","25.07.2023 15:39:54",vncnt.lrz,Moin was geht?
"824378909985341451","1","25.07.2023 15:40:35",vncnt.lrz,Wie findest du es?
"947400397990002689","1","25.07.2023 15:51:16",luispupuis,Hi gut
"618805150756110336","4","25.07.2023 16:35:51",martinbndr,Wie lange geht mein Premium noch? Also wann ist das derzeitige Ablaufdatum/Uhrzeit?
"824378909985341451","4","25.07.2023 16:55:44",vncnt.lrz,"Hey Martin, dein Premium geht noch bis Samstag, dem 9. September 2023. Hast du vor, es dir wieder zu holen? "
"824378909985341451","4","25.07.2023 16:56:11",vncnt.lrz,Ah und Uhrzeit 15:30 Uhr.
"618805150756110336","4","25.07.2023 17:33:49",martinbndr,"Ja, sehr wahrscheinlich. Danke für die Info!"
"824378909985341451","4","25.07.2023 17:34:35",vncnt.lrz,Gerne. Schönen Tag noch!
"1092441245743325226","5","28.07.2023 19:31:08",kreppergamer106yt,Hai
"824378909985341451","5","29.07.2023 13:30:01",vncnt.lrz,"Willkommen im Support, wie kann ich Ihnen helfen?"
"824378909985341451","6","29.07.2023 13:33:14",vncnt.lrz,"Willkommen im Support. Ist es richtig, dass Sie einen Entbannungsantrag stellen wollen? Wenn ja, schicke ich Ihnen hier ein paar Fragen, die Sie beantworten müssen.
"
"507436719339995136","6","29.07.2023 13:33:33",tobiasschnabeltv,könnt ihr den tobiasschnabeltv entbannen es tut ihm auch sehr sehr leid was er gemacht hat er nimmt es auch zurück er hat keine Fehler draus gelernt er wird dich auch nie mehr machen versprochen
"824378909985341451","6","29.07.2023 13:35:38",vncnt.lrz,"Sind Sie nicht selbst ""tobiasschnabeltv""? Sie schreiben ""er""."
"824378909985341451","7","29.07.2023 13:40:49",vncnt.lrz,test
"824378909985341451","6","29.07.2023 13:48:06",vncnt.lrz,"Beantworten Sie bitte folgende Fragen sachlich und vollständig.

1. Warum wurden Sie vom Benutzen des Vulpo Bots ausgeschlossen?
2. Welche konkreten Verhaltensweisen oder Aktionen haben dazu geführt, dass Sie vom Vulpo Bot ausgeschlossen wurden?
3. Wie erkennen Sie jetzt, dass Ihr Verhalten unangemessen war und dass Sie gegen die Nutzungsbedingungen des Vulpo Bots verstoßen haben?
4. Welche Maßnahmen haben Sie ergriffen, um sicherzustellen, dass Sie nicht erneut gegen die Nutzungsbedingungen des Vulpo Bots verstoßen?
5. Beschreiben Sie Ihre bisherige Erfahrung und Interaktion mit dem Vulpo Bot.
6. Welche Funktionen oder Aspekte des Vulpo Bots haben Ihnen besonders gefallen oder waren Ihnen besonders wichtig?
7. Gibt es besondere Gründe oder Umstände, die zu Ihren vorherigen Handlungen im Zusammenhang mit dem Vulpo Bot geführt haben? 
8. Wie beabsichtigen Sie, den Vulpo Bot in Zukunft zu nutzen und dabei sicherzustellen, dass Sie die Nutzungsbedingungen und Richtlinien einhalten?
9. Haben Sie Bugs oder Fehler im Vulpo Bot ausgenutzt, um Vorteile zu erlangen? Wenn ja, welchen Bug oder Fehler haben Sie ausgenutzt?
10. Sind Sie bereit, eine Verpflichtung einzugehen, den Vulpo Bot nur im Rahmen der festgelegten Nutzungsbedingungen zu verwenden und keine weiteren Bugs oder Fehler auszunutzen?

Falls wir überzeugt davon sind, dass Sie sich gebessert haben werden wir Sie entbannen.
"
"931795662704615444","8","30.07.2023 18:03:42",lecallele,"Hallo liebes Vulpo-Team. Ich habe ein kleines Problem, bei mir funktioniert der Levelupkanal nicht. Es kommt einfach keine Benachrichtigung, dass man ein Level aufgestiegen ist. Ich habe es auf einem meiner Test-Server probiert und habe genau die gleichen Einstellungen vorgenommen wie auf meinem Hauptserver und auf dem Test-Server hat es funktioniert."
"824378909985341451","8","30.07.2023 19:06:40",vncnt.lrz,"Hallo, könnte es daran liegen dass auf dem Hauptserver Levelup Rollen eingestellt sind, die über Vulpos höchsten Rolle sind? Es könnte sein, dass Vulpo failed die Rolle zu vergeben und so auch bei der Nachricht failed. Sonst könnte es noch an fehlenden Rechten liegen. Gib mal Bescheid."
"931795662704615444","8","30.07.2023 20:04:48",lecallele,"Nein, ich habe keine Levelup-Rollen eingestellt, die Vulpo-Rolle ist jedoch ganz unten und eventuell liegt es ja daran."
"931795662704615444","8","30.07.2023 20:12:09",lecallele,"Das klappt auch nicht.
"
"931795662704615444","8","30.07.2023 20:22:11",lecallele,"Vulpo hat auf meinem Hauptserver genau dieselben Einstellungen wie auf dem Test-Server, wo es funktioniert. 
Sprich: Kanäle ansehen, Nachrichten senden, Links einbetten, Dateien anhängen, Reaktion hinzufügen, Externe Emojis verwenden, Externe Sticker verwenden, Nachrichten verwalten, Nachrichtenverlauf anzeigen.
Und auf meinem Test-Server ist die Vulpo-Rolle ganz unten gelistet und dort funktioniert es ja auch."
"824378909985341451","8","30.07.2023 20:30:44",vncnt.lrz,Das ist komisch. Auf welche Einstellung ist diese Nachricht? Kanal des Levelups? Nachricht maybe zu lang? Schick mal diese Dinge und die Serverid bitte.
"931795662704615444","8","30.07.2023 20:42:26",lecallele,"Eingestellt habe ich es so: /levelsystem levelupkanal modus: Spezieller Kanal (Kanalangabe benötigt) kanal: #🤖｜levelup
Server ID: 931796676774092842

"
"931795662704615444","8","30.07.2023 20:46:43",lecallele,"Der #🤖｜levelup Kanal ist noch privat, weil ich es ja testen möchte, ob es klappt, aber das sollte eigentlich nicht daran liegen, weil Vulpo ja darauf zugriff hat."
"824378909985341451","8","30.07.2023 21:46:27",vncnt.lrz,Ich werde es mir anschauen sobald ich Zeit finde. Frühestens morgen 17 Uhr.
"931795662704615444","8","30.07.2023 21:49:56",lecallele,"Alles klar. Dann danke ich fürs erste.
"
"824378909985341451","8","31.07.2023 21:51:48",vncnt.lrz,"Hey, ich habe nun Zeit. Ich bin der Sache mal auf den Grund gegangen und sehe, dass dein Server(931796676774092842) zwar einen Eintrag hat, jedoch mit den falschen Werten. Passt Channel(1135218996044628089)? Außerdem ist bei der Nachricht einfach nichts eingetragen. Leer gelassen das Feld. Ich teste gerade den Befehl und es toppt irgendwie kein Feld auf zum einstellen der Nachricht. Ich gehe der Sache mal tiefer auf den Grund."
"824378909985341451","8","31.07.2023 21:52:57",vncnt.lrz,"Huch das war mein Fehler 🙈. Es gibt ja auch einen Befehl: /levelsystem levelupmessage. Dir ist bestimmt das selbe passiert, ein Kanal eingestellt aber keine Nachricht. Ist das die Lösung?"
"931795662704615444","8","01.08.2023 20:40:39",lecallele,"Wann wird mir weiter geholfen?
"
"931795662704615444","8","01.08.2023 20:41:42",lecallele,"Oh... hab die Nachrichten nicht gesehen, sorry. Die wurden nicht geladen.
"
"931795662704615444","8","01.08.2023 20:53:36",lecallele,Es hat funktioniert! Bräuchte jetzt nur noch Hilfe bei den Variablen für Player und Level.
