"autorname","autorID","ticketID","titel","status","letztes_update"
luispupuis,"947400397990002689",1,Test,Geschlossen,"25.07.2023 15:35:32"
toxcigamerxd,"800387017850224660",2,Test oder so,Geschlossen,"25.07.2023 15:48:32"
luispupuis,"947400397990002689",3,Test_,Geschlossen,"25.07.2023 15:51:02"
martinbndr,"618805150756110336",4,Vulpo Premium,Geschlossen,"25.07.2023 16:35:08"
kreppergamer106yt,"1092441245743325226",5,Sicherheit Bewerbung,Geschlossen,"28.07.2023 19:30:59"
tobiasschnabeltv,"507436719339995136",6,entbannen ,Geschlossen,"10.08.2023 10:12:36"
vncnt.lrz,"824378909985341451",7,test,Geschlossen,"29.07.2023 13:40:37"
lecallele,"931795662704615444",8,Levelupkanal,Geschlossen,"02.08.2023 12:57:21"
kenobi.tobi,"1088585103178997772",9,TÜV termin,Geschlossen,"02.08.2023 00:06:41"
pette123,"1093587604529762324",10,gj,Geschlossen,"10.08.2023 10:12:55"
megasag,"1067793800082235493",11,Test,Geschlossen,"10.08.2023 01:24:08"
vncnt.lrz,"824378909985341451",12,ss,Geschlossen,"10.08.2023 10:28:27"
vncnt.lrz,"824378909985341451",13,fgfrgr4grg,Geschlossen,"10.08.2023 10:31:23"
crazymax1606,"1091423409927360522",14,AutoMod Ausschalten,Geschlossen,"28.08.2023 12:28:14"
vncnt.lrz,"824378909985341451",15,Test lololol,Geschlossen,"12.08.2023 21:49:48"
christianstun,"988502572404969552",16,Privates Gespräch,Geschlossen,"14.08.2023 08:32:25"
erschrecken,"976156443675873361",17,Test test,Geschlossen,"13.08.2023 08:52:39"
maxcool01,"1117021103366357012",18,Gang Bewerbung ,Geschlossen,"28.08.2023 12:27:29"
luca500ps1,"1124575309493178378",19,Support,Geschlossen,"14.08.2023 20:36:36"
sawe_1,"1104366220041523250",20,Support,Geschlossen,"15.08.2023 14:48:25"
toxcigamerxd,"800387017850224660",21,Frage,Geschlossen,"23.09.2023 18:58:33"
lucky_developer,"732993370305069116",22,Giveaway,Geschlossen,"19.08.2023 12:16:52"
tob_main.acc,"1139934732835098745",23,Bug gefunden,Warte auf User,"11.09.2023 18:18:52"
bibabobycarboyyoshy,"1121306481631961088",24,Bewerbung,Geschlossen,"11.09.2023 18:20:19"
messidergoat,"1054408659540660234",25,hi,Geschlossen,"03.09.2023 13:57:16"
xottic_07,"1140393384486387885",26,staff apply,Geschlossen,"17.09.2023 01:38:57"
julian0990,"1055779916584587305",27,Frage zu vulpo,Warte auf User,"23.09.2023 18:58:13"
shadyxos,"1140201716755742822",28,Bewerbung ,Geschlossen,"24.09.2023 18:01:21"
julian5324,"761183884859015178",29,H,Geschlossen,"27.09.2023 08:31:50"
sonnefeuer48409,"970272227490664468",30,löälöälä,Geschlossen,"27.09.2023 16:56:37"
pohaski_74,"936294577323790346",31,Bewerbung,Geschlossen,"29.09.2023 17:32:49"
bastendo,"776444283225243648",32,g,Geschlossen,"01.10.2023 10:40:07"
lukaludw2605,"864455844157456395",33,BEWERBUNG:TEAM,Geschlossen,"12.10.2023 15:25:47"
ju9149,"1128012563637092385",34,support,Geschlossen,"14.10.2023 12:00:08"
ayoo.amin,"1100039310671106131",35,Moderator Bewerbung,Geschlossen,"27.10.2023 22:46:46"
ayoo.amin,"1100039310671106131",36,Ticket Pannel,Warte auf User,"01.11.2023 09:47:16"
mcbencrafter,"730734267704934422",37,Bewerbung Developer,Geschlossen,"01.11.2023 16:05:38"
