"userID","titel","beschreibung","preis","guildID","roleID"
"824378909985341451",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"",""
"853742600061714482","waldanteil ""vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"",""
"730734267704934422","Waldanteil ""Vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"",""
"948565546742452284",asdf,test,2,"",""
"991807730417418250",Bitcoin,Bitcoin,100,"964960515552059442",""
"991807730417418250",Bitcoin,Bitcoin,100,"964960515552059442",""
"981898944017739836","Waldanteil ""Vulpo""",Kaufe einen Teil von Vulpos Wald.,10000,"925729625580113951",""
"824378909985341451",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"925729625580113951",""
"936354421900726312",Mythos Rang,Kaufe ihmn dir,0,"1002963448646340699",""
"683055422650974448",test,"1",1,"768228694736371732",""
"792484163684532274",Fuchsmünze,Dies ist ein alter gefundener Schatz aus den tiefen von Vulpos Wald.,1000,"925729625580113951",""
"1001826064189902989",wichtiger,LOL,200,"1003577766173753374",""
"1001826064189902989",wichtiger,LOL,200,"1003577766173753374",""
"697386808920506409",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
"593450283510792213",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
"658731024309682187",Keks,Einfach ein toller Keks,1000,"1079807502113316896","1104492368507457587"
