"guildID","msgID","lösung"
"676115729124425737","999766993144135810",Arielle
"905892043807678504","1000532210480320715",Geburtstagskind
"1000477683517505661","1000727966629769326",Sanitäter
"1000477683517505661","1000728336219262996",Impfung
"971073791763578930","1001124000170266684",Fifa
"995344055158439996","1001190476633866280",Hungry Eyes
"909422299587964988","1001513696939483228",Kirschbaum
"811533539320922132","1001944900088107071",Schwarzes Schaf
"973289734057132092","1003320551789563904",Werkzeugkasten
"971073791763578930","1003596430151262218",Hundehütte
"1002497204008783922","1003673431524515980",König der Löwen
"1003683343197552700","1003684620451184710",Fußballtor
"1003667793381691392","1003717434823409704",Hexe
"993465450484731925","1006588876829233295",Sanitäter
"989961082833608795","1006829181100884018",Safari
"806125679124414474","1007387168395767899",Muttertag
"983384134439292938","1007401172610596945",Reitturnier
"971073791763578930","1007573518562627625",Corona
"971073791763578930","1007623546387845240",Email
"775145940020887572","1007636317569568798",Hausboot
"972184158665310239","1009058250358001674",Werkzeugkasten
"957242463284764732","1009108233098645614",Alter Schwede
"981566048954376202","1010402100846542869",Adidas
"996032349638774877","1010934706847617135",Python
"1011580684680318997","1011883555518947338",Mauseloch
"989563191153528862","1012378629595996292",Cowboy
"1009124566544695357","1013582034481991731",Liebe macht blind
"986322560532758579","1013668267128266782",Life of Pi
"1013574681703485530","1013887499204042882",Discord Bot
"1013913567206068245","1013929460946448476",Batman
"1013151935202873345","1014612017904095394",Dschungelbuch
"983806829165420596","1015162587790454784",Fitnessstudio
"902646143303954562","1015227690627907605",Blindschleiche
"842349741845381170","1015560898703806504",Königsschloss
"1012420010016260221","1015634471518744576",Fitnessstudio
"958014031157927957","1015655128600166533",Star wars
"958014031157927957","1015658057381978192",Krabbenburger
"958014031157927957","1015658760611582013",Elektroauto
"935191408430698506","1015881487016538152",Pingpongball
"1015689773597327391","1015897302965170206",Baustelle
"1015518785505083392","1015911270630838273",Geburtstagskind
"1015901329698336831","1015957783486681198",Türrahmen
"982644059464159282","1016790109166768199",Geburtstermin
"971441719222599720","1017032065490882590",Hitzewelle
"997149390206673016","1017517992688496662",Eiskönigin
"1006165536134144111","1017801678034047038",Hitzewelle
"1003672037199462471","1017839823521845320",Lichterkette
"1014145683361628200","1017918589556232202",Hungry Eyes
"967408995809759232","1018078046005239848",Windows
"1014116444897804408","1018081758954135562",Königsschloss
"1006295928254255114","1018249394207850519",Krieg
"937793977892077668","1018600964573380699",TicTacToe
"1010231091979890698","1018602971166146580",Klimawandel
"775145940020887572","1018934938453692507",Pikachu
"1014853879910912042","1018953817666097284",E.T.
"933706031517802536","1019570810412867684",Fruit Ninja
"964960515552059442","1019624256851681302",Klimawandel
"979142025112858685","1019643115042263041",Eislaufen
"1019212678507536414","1020054317056675881",Brexit
"1005119105868759162","1020413241018556467",Black Widow
"683059539054297159","1020774265613721651",Paramount Pictures
"968206148413063238","1021506856641888398",Krieg
"1019243091267424287","1021884207569580192",Roadrunner
"1019243091267424287","1021885137371279390",Leseratte
"1019243091267424287","1021885591589228574",Betrügen
"1003577766173753374","1022162683648286850",Rettungsdienst
"993887751785168906","1022182287359610982",Königsschloss
"853657798734118924","1022505367860695111",Wolkenkratzer
"979481422815440897","1022865307448115272",Glühwürmchen
"994332164768403596","1023189384255787078",Cowboy
"1014445347713593354","1023243348212981810",Impfung
"989961082833608795","1023478476034035762",Lichterkette
"981566048954376202","1023501170779623454",Hochzeit
"1004823864653647984","1023630753214513202",E.T.
"773961545146433537","1023652941233668216",Paramount Pictures
"1005575214068944936","1023702590426447952",Hochzeit
"1015566956885192734","1023942263157571594",Flaschenpost
"993232935949975632","1024008981028552704",Dortmund
"984928443173068880","1024013362268475443",Rettungsdienst
"640536364324093954","1024227906798493726",Zyzz
"960991044302946354","1025053147036647496",mathe
"949612614466535424","1025083079666188370",Alter Schwede
"854072033494958112","1025111452832510003",Reitturnier
"1020719124478968019","1025119436476252160",Liebeskummer
"940291686783926272","1025123138574495754",Brexit
"966811756376776724","1025261521334444083",Life of Pi
"998640957211820133","1025387977561620491",Zeitreise
"810089469314990101","1025471000567107615",Vulkanausbruch
"1015556873648341023","1025680562473676822",Dracula
"925729625580113951","1025783030146682941",Olivenbaum
"948595942448320653","1025799594933764126",Paramount Pictures
"1014140264270545016","1025802571228663919","99 Luftballons"
"933769612120694854","1025820204267225160",Weinachten
"931796676774092842","1025828966520598528",Paris
"1008126803812036720","1103009639240581180",Schokobrötchen
"1044625104379858944","1103018012728111274",Schwarzes Schaf
"1101244141758861422","1103022634335223858",Schwarzes Schaf
"1064193343413825576","1103039292361670687",Feuerblume
