"guildID","userID","grund","warnID"
"925729625580113951","897641092697186336",Ist seiner Pflicht als Teammitglied zu voten über einen Zeitraum nicht nachgegangen. Warnung 1/2 (bei der zweiten Verwarnung -> Teamkick),"1"
"925729625580113951","568033591829987349","Beleidigung
`Verwarnung erstellt am 17.03.2022`","1"
"937376412183183452","897641092697186336",Hat ein verbotenes Wort gesendet: ||testwort||,"1"
"925729625580113951","923479465294700565","Ausnutzung seiner Rechte als Teammitglied indem er sich Rollen mit Administrator Berechtigungen gibt und sich selbst alle Levelrollen gibt
`Verwarnung erstellt am 26.03.2022`","1"
"958290691212050455","926047306787217419","Test
`Verwarnung erstellt am 01.04.2022`","1"
"925729625580113951","837044499346620448","Frech zu Teammitgliedern
`Verwarnung erstellt am 05.04.2022`","1"
"933706031517802536","352793093105254402","Respektloses Verhalten gegenüber dem Owner
`Verwarnung erstellt am 14.04.2022`","1"
"933706031517802536","936757477737922630","Triggert Teammitglieder
`Verwarnung erstellt am 24.04.2022`","1"
"943483956664356894","798567188373831722","sohalt
`Verwarnung erstellt am 26.04.2022`","1"
"932693214996090894","847176705478099006","julian
`Verwarnung erstellt am 30.04.2022`","1"
"943483956664356894","824378909985341451","test
`Verwarnung erstellt am 30.04.2022`","2"
"943483956664356894","824378909985341451","test
`Verwarnung erstellt am 30.04.2022`","3"
"943483956664356894","824378909985341451","test
`Verwarnung erstellt am 30.04.2022`","4"
"943483956664356894","824378909985341451","test
`Verwarnung erstellt am 30.04.2022`","5"
"953379025311641640","728224308312146011","test
`Verwarnung erstellt am 01.05.2022`","1"
"941035429203968062","925799559576322078","teste
`Verwarnung erstellt am 01.05.2022`","1"
"966811756376776724","722504610702426212","kp
`Verwarnung erstellt am 02.05.2022`","1"
"925729625580113951","941750986551205930","Häufiges Betteln, nach einigen Ermahnungen
`Verwarnung erstellt am 03.05.2022`","1"
"971122193918476298","970855141102202930","Server Beleidigung | Der Nächste wird der Härtere werden
`Verwarnung erstellt am 04.05.2022`","1"
"925729625580113951","941750986551205930","DM Werbung
`Verwarnung erstellt am 04.05.2022`","2"
"971122193918476298","615500048163274776","Keiner Sexuelle Emojis
`Verwarnung erstellt am 04.05.2022`","1"
"971122193918476298","615500048163274776","Keine Sexuellen Emojis
`Verwarnung erstellt am 04.05.2022`","2"
"971122193918476298","970855141102202930","Keine Sexuelle Aktivität im Server
`Verwarnung erstellt am 04.05.2022`","2"
"943483956664356894","798618692018503761","Werbung im chat
`Verwarnung erstellt am 05.05.2022`","1"
"943483956664356894","845966827275157524","Werbung im chat
`Verwarnung erstellt am 05.05.2022`","1"
"925729625580113951","942385774173753404","Trollen vom Owner
`Verwarnung erstellt am 06.05.2022`","1"
"933706031517802536","884421589184180234","Hat ein verbotenes Wort gesendet: ||fuck||
`Verwarnung erstellt am 06.05.2022`","1"
"933706031517802536","439150538005938208","Hat ein verbotenes Wort gesendet: ||fuck||
`Verwarnung erstellt am 06.05.2022`","1"
"933706031517802536","352793093105254402","Hat ein verbotenes Wort gesendet: ||fick||
`Verwarnung erstellt am 07.05.2022`","2"
"933706031517802536","894235218754535424","spam
`Verwarnung erstellt am 07.05.2022`","1"
"943483956664356894","702170085237719113","nazi<:bruh_lol:968007896141017089>
`Verwarnung erstellt am 07.05.2022`","1"
"933706031517802536","507436719339995136","Beleidigungen
`Verwarnung erstellt am 08.05.2022`","1"
"933706031517802536","507436719339995136","Hat ein verbotenes Wort gesendet: ||huhrensohn||
`Verwarnung erstellt am 08.05.2022`","2"
"933706031517802536","507436719339995136","Nerven
`Verwarnung erstellt am 08.05.2022`","3"
"933706031517802536","939253803511840769","Unnötiges Spamen von Commands im Chat
`Verwarnung erstellt am 08.05.2022`","1"
"933706031517802536","939253803511840769","Spamen generell
`Verwarnung erstellt am 08.05.2022`","2"
"933706031517802536","824378909985341451","Einfach Dummheit
`Verwarnung erstellt am 08.05.2022`","1"
"925729625580113951","941750986551205930","Unnötiges öffnen von tickets
`Verwarnung erstellt am 09.05.2022`","3"
"933706031517802536","352793093105254402","Hat ein verbotenes Wort gesendet: ||fuck||
`Verwarnung erstellt am 09.05.2022`","3"
"933706031517802536","474947907913515019","Hat ein verbotenes Wort gesendet: ||vollidiot||
`Verwarnung erstellt am 09.05.2022`","1"
