"guild_id","roleid","level"
"925729625580113951","926423375352561714","2"
"925729625580113951","926423482739359774","5"
"925729625580113951","926423703120646197","10"
"925729625580113951","926423910222807060","20"
"925729625580113951","926423841041956894","30"
"925729625580113951","926424112484745226","40"
"925729625580113951","926424196794429481","50"
"949050648186486814","951522980154982450","10"
"949050648186486814","951522980154982450","10"
"952647118332506153","952866389109112852","1"
"952647118332506153","952866543216263198","10"
"952647118332506153","952866711110029344","50"
"951924173716996177","953678469835939860","1"
"951924173716996177","953678527578923018","5"
"951924173716996177","953678557052272722","15"
"951924173716996177","953678579697336371","25"
"951924173716996177","953678608193454080","45"
"951924173716996177","953678655282880522","60"
"953379025311641640","953383964305944596","2"
"933706031517802536","962397681957875793","10"
"933706031517802536","962397734176972832","15"
"933706031517802536","962397769207799848","20"
"933706031517802536","962460161715351602","25"
"933706031517802536","962397603360809071","5"
"966811756376776724","967076304983834704","5"
"966811756376776724","967076383635406860","10"
"966811756376776724","967076445031645194","15"
"966811756376776724","967076522978582598","20"
"966811756376776724","967076579182256189","25"
"966811756376776724","967076648686084186","30"
"966811756376776724","967076737173303306","35"
"966811756376776724","967077155920052245","40"
"966811756376776724","967077022457290773","45"
"966811756376776724","967077276049100800","50"
"968162980946673756","968162981236047941","5"
"968162980946673756","968162981265424434","10"
"803697848163631105","980065406041604096","5"
"803697848163631105","980065522890735637","10"
"803697848163631105","980065597419290634","25"
"803697848163631105","980065672631570442","50"
"948310338602958888","948557940837724250","8"
"984928443173068880","986406829644984381","25"
"984928443173068880","986406826964811807","35"
"984928443173068880","986406824540528700","50"
"984928443173068880","986406821868748830","65"
"984928443173068880","986406819041783819","75"
"984928443173068880","986406816571359252","85"
"984928443173068880","986406813853446144","100"
"984083592110039120","988063317564194856","10"
"984083592110039120","988063404713455676","20"
"984083592110039120","988063610989326349","30"
"968162980946673756","988426594207035452","70"
"777886844334505995","988839475734011995","5"
"984828890755268639","986308451066081320","5"
"984828890755268639","986308688790843422","10"
"984828890755268639","986308797830148156","15"
"984828890755268639","986309045281501234","20"
"984828890755268639","986308951681433600","25"
"984828890755268639","986310269800157184","30"
"994575472514056262","994575472627306674","5"
"994575472514056262","994575472627306675","10"
"994575472514056262","994575472627306676","15"
"994575472514056262","994575472652460112","20"
"994575472514056262","994575472652460113","25"
"994575472514056262","994575472652460114","30"
"994575472514056262","994575472652460115","35"
"994575472514056262","994575472652460116","40"
"994575472514056262","994575472652460117","45"
"994575472514056262","994575472652460118","50"
"939033081577373696","939197054087999598","8"
"994332164768403596","997796177560997928","5"
"994332164768403596","998213722495533136","10"
"994332164768403596","998226157642203278","15"
"988078038531076146","999071141115203694","1"
"988078038531076146","999071354743705701","2"
"988078038531076146","999071398737752188","4"
"988078038531076146","999071429049991188","6"
"988078038531076146","999071453490184212","8"
"988078038531076146","999071476353343528","10"
"988078038531076146","999071497383596174","15"
"988078038531076146","999071520422907955","20"
"988078038531076146","999071582221783183","25"
"988078038531076146","999071603855994920","30"
"988078038531076146","999071625104326718","35"
"988078038531076146","999071648290439259","40"
"988078038531076146","999071672156049488","45"
"988078038531076146","999071697019867176","50"
"973289734057132092","998850832932028476","5"
"973289734057132092","999018703259697152","10"
"973289734057132092","999022137945899088","15"
"973289734057132092","999020647474802740","20"
"973289734057132092","999022669703946330","25"
"973289734057132092","999021020105158736","30"
"973289734057132092","999022449175830528","35"
"948595942448320653","993932871989469284","10"
"948595942448320653","993927640312467508","20"
"948595942448320653","993820712789872680","30"
"948595942448320653","993821785676062740","40"
"948595942448320653","993841473026003024","50"
"1003958308283109387","1003961163974979625","5"
"1003958308283109387","1003961060157554709","10"
"1003958308283109387","1003960921695203369","50"
"1003958308283109387","1003960804829306890","100"
"984928443173068880","986406813853446144","50"
"984928443173068880","1005499208113082368","100"
"984928443173068880","986359810243055676","2"
"984928443173068880","986406834862702641","5"
"984928443173068880","986406832358699038","10"
"984928443173068880","986406826964811807","15"
"984928443173068880","986406824540528700","25"
"957242463284764732","1007359889296871535","5"
"1011580684680318997","1011590784522391583","5"
"1011580684680318997","1011591905278173226","10"
"1011580684680318997","1011595643007029372","25"
"962071608103673958","1012320357757235372","5"
"962071608103673958","1012320951704223764","10"
"962071608103673958","1012320954115960912","25"
"939887880598331423","999419105792757841","1"
"939887880598331423","999426363628990655","10"
"939887880598331423","999419076755591310","20"
"939887880598331423","999425381830508545","30"
"939887880598331423","999421046363009105","40"
"939887880598331423","999425582972547112","50"
"939887880598331423","999421327486238801","60"
"939887880598331423","999425729576058941","70"
"939887880598331423","999426184779661422","80"
"939887880598331423","999421541186011168","90"
"939887880598331423","999421738314125343","100"
"1014116444897804408","1014116444897804410","5"
"1014116444897804408","1014116444897804411","10"
"1014116444897804408","1014116444897804412","25"
"1014445347713593354","1014466264523091990","1"
"1014445347713593354","1014471829781487677","5"
"1014445347713593354","1014471945884016690","10"
"1014445347713593354","1014472303020613672","15"
"1014445347713593354","1014472368405614633","25"
"1014445347713593354","1014472477491081238","30"
"1014445347713593354","1014472530297356389","35"
"1014445347713593354","1014472817955315844","40"
"1014445347713593354","1014472899324817471","50"
"1014445347713593354","1014472971601051750","60"
"1014445347713593354","1014473035929104444","65"
"1014445347713593354","1014473250056699934","70"
"1014445347713593354","1014473302414209024","75"
"1014445347713593354","1014473444949246032","80"
"1014445347713593354","1014473519058399282","85"
"1014445347713593354","1014473633961349180","90"
