"msg","guildID","channelID"
Willkommen %member,"905892043807678504","934139741463531550"
Willkommen %metion! Willkommen auf BL4CKPLACE.,"961971433486041198","961978304657760286"
<:v_user:1119585450923929672> %mention hat zu uns gefunden. Schön dass du da bist! B9xV123,"925729625580113951","925738977422639107"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"965566481322606592","965570350974926858"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"973267734597087272","973281091454648430"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"967055767100342324","973182053854117888"
"Willkommen in unserem kleinen Clan. Schön das du zu uns gefunden hast 🥰. Bitte sei freundlich und halte dich an die Regeln. So und nun, lebe dich erstmal ein ✌🏻","967055767100342324","973182053854117888"
%member-Member#0000 | %name-Member | %mention-@Member | Legendäre Irre | %usercount-Memberanzahl Willkommen in unserem kleinen Clan! Lebe dich erstmal ein 🥰,"967055767100342324","973182053854117888"
Willkommen in unserer kleinen Allianz! Seid freundlich untereinander und haltet euch an die Regeln. Würden uns sehr freuen wenn ihr euch kurz vorstellt. Und nun lebe dich erstmal ein %member-Member#0000 | %name-Member | %mention-@Member | Legendäre Irre | %usercount-Memberanzahl,"967055767100342324","973182053854117888"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"957359041057800213","974972145207771196"
%member-Member#0000 Welcome to  %guild-Servername |  We are now at %usercount-Memberanzahl Members,"965566481322606592","965570350974926858"
**%member** ist neu auf **%guild**! Wir sind nun **%usercount** Mitglieder!,"983413416209285190","983413416599375873"
Willkommen auf %guild-Servername %member-Member#0000 | Es sind  %usercount-Memberanzahl auf em Server ,"990671694622523392","990671694689615925"
Willkommen auf dem server von %guild  Der server hat zurzeit so vile user %usercount,"777886844334505995","990908735700471828"
"| %mention | Herzlich willkommen, beim Spektrum des Gamers. Lies dir die Regeln durch und wähle deine Selfroles. Dann kanns losgehen. Viel Spaß!!","984828890755268639","984829029779660840"
"Willkommen %mention-
du bist auf  %guild-Servername Gesund Angekommen  du bist der %usercount-Memberanzahl auf dem Server ","978345087912280104","978345087912280107"
"Willkommen %mention! Lies dir die **Regeln** durch, wähle **deine Selfroles** und dann gehts los. **Viel Spaß!**","994332164768403596","994332165351424002"
"%mention , Willkommen auf: **%guild**! Wir haben nun %usercount User!","999314010606411896","999323603118084117"
%mention ist dem Server beigetreten. Viel Spaß hier!,"998203664822980738","998248748561997854"
**Willkommen in der Gang** %mention <a:love:991252533764948008>,"999711820262674522","999711820262674525"
"Willkommen bei den Money Fighters, wir hoffen du fühlst dich wie Zuhause. Wenn du Fragen hast stehen wir gerne jederzeit zur Verfügung","996032349638774877","996032349638774879"
%mention Willkommen auf %guild !,"1000400822380798053","1000400822460481663"
"%member willkommen 👋
Bitte lese zuerst das Regelwerk in #𝚁𝚎𝚐𝚎𝚕𝚠𝚎𝚛𝚔-📚 durch!","1000557173593612408","1000561884019314778"
%mention ist dem Server beigetreten. Viel Spaß hier!,"1002509879451332669","1002509879904325683"
**%member** Willkommen auf **BWCrew.net**,"997188963074834563","997205728114774086"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1003958308283109387","1003958308874485853"
Ein fröhliches %name erscheint :ringed_planet: ,"1000832197319720960","1002636851955388546"
Willkommen %mention auf %guild !,"1005477359547318354","1005479301027733534"
%mention ``(#%usercount)`` ist endlich unserer Crew beigetreten! Wilkommen in Dragon Life!,"983384134439292938","1005921596487237692"
"│👏・Hey %mention-@Member,
│📌・Bitte Verifizieren sie sich.","957242463284764732","1007379955203715202"
"👋 %mention ist %guild beigetreten! Lies bitte die Regeln, wähle deine Selfroles, und dann viel Spaß!","973289734057132092","1008464906405806140"
"Wilkommen %mention (``#%usercount``), wir hoffen du hast Pizza mitgebracht.","989961082833608795","989961083286618142"
"%name Willkommen auf dem %guild du bist der %usercount
","1011580684680318997","1011580684994887685"
"%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl
Willkommen auf St.Pölten!","1007984950529769523","1008002196094320710"
Welcome %member! ,"1012026771018883172","1012027786564739153"
"Wilkommen auf diesem %server.name%
Du bist unser %member.joined% 
Schau dir bitte zuerst das Regelwerk an um andere Kanäle dir anzuschauen %membercount%

","1012049443891204236","1012049444423864412"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"1014116444897804408","1014116446575530006"
"Willkommen liebes GamingLounge Teammitglied. 

%member | %name-Member | %mention-@Member | %guild-Servername | Anzahl Teammitglieder auf diesem Server: %usercount","768228694736371732","1015304030878191736"
"<:pepehey:984120719099199498> %mention ist der **%guild** beigetreten! Wir wünschen ihm **viel Spaß**! <a:Minecraft1:984142777057169509>
[`%usercount`]","984083592110039120","984083592110039123"
"**Hey %mention, Willkommen auf Favelife Roleplay | Wir sind jetzt %usercount Member**","1020315515111100476","1020315515635376130"
