"emojis","tipp","lösung"
🪴🏠,Der Treibhauseffekt findet statt.,Gewächshaus
🦀🍔,Wird von SpongeBob in der krossen Krabbe zubereitet.,Krabbenburger
🐷🍀🍾🥂🧨🎆🎇,Frohes Neues!,Silvester
🦁👑🐆🐗🐅,Kinderfilm,König der Löwen
♋️♐️♊️,Du hast auch eines von 12.,Sternzeichen
🦶🏻⚽️,Eine beliebte Sportart.,Fußball
🦷🦁,Es ist eine Blume.,Löwenzahn
❄️⚽️,Es kann geworfen werden.,Schneeball
🌧🏹,Es kommt wenn es regnet und die Sonne scheint.,Regenbogen
🍀🍄,Wenn du im Lotto gewinnts bist du ein…,Glückspilz
🕷🤵‍♂️,Er kann Spinnennetze verschießen.,Spiderman
⚫️🃏,Es ist ein Glücksspiel.,Blackjack
🤰🗓,Ein besonderer Tag.,Muttertag
⚔️🎫,Es kommt in Fortnite.,Battle Pass
🍕🍍,Entweder man hasst es oder man liebt es.,Pizza Hawaii
❄️👨,"Man muss Kugeln rollen mit dem Schnee, um es zu bauen.",Schneemann
🔥🌻,It‘s me Mario.,Feuerblume
🧒🚑,Es ist ein Job.,Sanitäter
🧒🚑,Es ist ein Job.,Sanitäter
🪟💻,Ein Computersystem.,Windows
🎄🎁,Es ist ein Fest.,weihnachten
🥚🐇,Es ist einmal pro Jahr.,Ostern
🔫👦,Es wird geschossen.,Krieg
🐵🤼,Es ist eine Bande.,Affenbande
🪞🥚,Man kann es essen.,Spiegelei
🌳🏠,Es wird auf Bäumen gebaut.,Baumhaus
🐶🛖,Es ist eine Hütte.,Hundehütte
🍎🌳,Es ist ein Baum.,Apfelbaum
🍒🌳,Es ist ein Baum.,Kirschbaum
🤴🏘,Es ist für alte Leute.,Altersheim
🤖🔵,Sie sind programmiert.,Discord Bot
🫒🌳,Es ist ein Baum.,Olivenbaum
🚽👓,Es ist eine Brille.,Klobrille
🏡🚤,Es ist ein Haus.,Hausboot
⚽️🥅,Man schießt hinein.,Fußballtor
🏓🏐,Es ist ein Ball.,Pingpongball
🍟🍔👦,Es ist ein Menü.,Happy Meal
🍰🥳👶,"Es ist ein ""Zustand""  einer Person gemeint.",Geburtstagskind
✉️ 📦,Bringt dir deine Post,Postbote
🌎🧲💪🏻,"Der Grund, weshalb wir auf der Erde stehen.",Erdanziehungskraft
"1️⃣📯",Fantasiewesen,Einhorn
🐕👨,Aus dem wilden Westen.,Cowboy
🐰🐻🦊🐥,Abkürzung eines Horrorspiels.,FNAF
🍒🌸🎊,Traditionelles japanisches Fest.,Kirschblütenfest
📱🍎🍓🍉🥷,Handyspiel,Fruit Ninja
♨️🐶,Ein bekanntes Essen.,Hotdog
📦🔨🪛🔩,Dies brauchen Handwerker zum transportieren.,Werkzeugkasten
