"msg","guildID","channelID"
"<a:winken:964852677945204786> **Tschüss %mention(%member)**
Schade dass du uns verlassen hast.","925729625580113951","925735366210768896"
"Tschüss %member, schade, dass du weg bist!","877291515838361690","965704212673593476"
"%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl
hat uns Verlassen","966978675251744779","974319342034493471"
👋 %member hat %guild verlassen. Tschüss!,"973289734057132092","1008464906405806140"
| %name-Member | hat den Server verlassen. Er/Sie ist nun kein wahrer Gamer mehr.,"984828890755268639","985546210406449202"
%name | Hat den Server verlassen.,"994332164768403596","994341879263019129"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"951776421355868231","1000682012480389220"
%mention hat den Server verlassen. Tschüss!,"974804274414497802","998499116063674439"
%mention hat verlassen! Noch %usercount Member ,"951776421355868231","1000682012480389220"
%mention hat den Server verladen. Tschüss!,"1002509879451332669","1002509879904325683"
%member left.,"1012026771018883172","1012027786564739153"
%name hat denn Server verlassen,"948595942448320653","1016357042082033694"
"<a:Blobleave:984126334521466940> %name hat %guild **verlassen**. Wir wünschen ihm noch **viel Glück für sein weiteres Leben.** 
[`%usercount`]","984083592110039120","984083592110039123"
%mention hat %guild verlassen.,"768228694736371732","1018241129801601124"
%member-Member#0000 hat uns leider verlassen.,"1023539601920507904","1023540622105255946"
"<a:Blobleave:984072924132675628>**Tschö mit ö %name**. Schade, dass du weg bist.","933769612120694854","952974677897273424"
%name leaved %guild ,"1025374315300003860","1025388054531276870"
