"user_xp","user_level","client_id","guild_id"
4251,26,"261776911502540810","938999503724355594"
10374,46,"824378909985341451","925729625580113951"
59,3,"923479465294700565","949986463234261012"
4327,27,"918404133264982016","938999503724355594"
4434,28,"703897584791584799","803697848163631105"
620,40,"852954532044472321","803697848163631105"
1093,12,"824378909985341451","937376412183183452"
63,1,"795382631318814730","743767102971707453"
1,1,"529233858965536768","949986463234261012"
1,1,"825261013829156875","743767102971707453"
98,1,"923479465294700565","939171507005968414"
254,5,"826898136073109574","907693128859934771"
32,1,"810598602748461087","949986463234261012"
52,1,"720239394770124802","939171507005968414"
127,2,"614818414732771360","949986463234261012"
314,5,"775356617159868457","907628929714626610"
1209,17,"788047919932375070","907628929714626610"
213,3,"923479465294700565","925729625580113951"
361,9,"897641092697186336","925729625580113951"
3306,21,"835782971235368960","925729625580113951"
230,6,"802206852489805894","933000357045485621"
3558,31,"681265087893340232","803697848163631105"
158,1,"930334161477197896","907628929714626610"
160,9,"820600883133022239","907628929714626610"
1148,17,"796148954398982174","907628929714626610"
443,10,"811512494765244427","803697848163631105"
110,4,"763628268347719710","946489548232359968"
95,7,"740225640858648589","907628929714626610"
465,7,"731584662287286312","907693128859934771"
144,2,"788047919932375070","925729625580113951"
110,5,"884467000557051974","907693128859934771"
824,26,"317800555265130496","938999503724355594"
132,3,"299251045513691137","939171507005968414"
67,3,"831061076501069845","939171507005968414"
327,4,"649196732273655809","927709517544849408"
163,3,"824378909985341451","939171507005968414"
92,11,"809739434537910283","925729625580113951"
1134,31,"603430803518783489","938999503724355594"
23,1,"857541881764118558","857546239368101888"
1141,21,"909415391305023488","907628929714626610"
351,8,"944710693989527662","907693128859934771"
153,3,"402539269014552578","907693128859934771"
370,7,"923131308522209300","938999503724355594"
290,3,"942805018782892082","907628929714626610"
991,10,"681866832780853281","935287972327206953"
294,26,"718801293891600396","803697848163631105"
772,23,"934495470007504937","907628929714626610"
71,2,"716701799091929148","907628929714626610"
48,1,"672059874926133251","909803699042390077"
97,3,"897641092697186336","936043147857911850"
176,2,"708652150179233814","800511998688624640"
20,3,"894482422702407681","927709517544849408"
50,3,"839847107371859998","907628929714626610"
399,19,"795382631318814730","925729625580113951"
54,1,"800387017850224660","925729625580113951"
2620,37,"802559599562719292","803697848163631105"
172,5,"793455216161718272","936022428776292364"
41,2,"809739434537910283","866647091836223519"
406,6,"735454828582535198","907628929714626610"
12,1,"693154896618192916","907628929714626610"
144,2,"845602330409828353","907628929714626610"
342,6,"881583628059025478","803697848163631105"
3610,22,"898091616072503326","803697848163631105"
11,1,"540607411203866634","933000357045485621"
103,6,"732136954325499957","949050648186486814"
523,6,"831053064622440449","949050648186486814"
1610,14,"837044499346620448","949050648186486814"
327,8,"709822834259525692","949050648186486814"
262,9,"823169099240308769","949050648186486814"
367,5,"894951266898296872","949050648186486814"
79,1,"938882063908601856","935287972327206953"
30,3,"771781821729472572","949050648186486814"
276,3,"432590401673625623","949050648186486814"
212,4,"922121372862402620","907628929714626610"
28,1,"946759017647210547","907628929714626610"
30,1,"802532472268128306","920931063956635659"
509,16,"785110598564053012","949050648186486814"
200,3,"789513507631661087","907628929714626610"
165,3,"659884225616543754","949050648186486814"
118,2,"772745910119694346","949050648186486814"
1,1,"707468556945850450","949050648186486814"
43,1,"382174552194809867","926944821564833832"
26,1,"858725283154886666","920931063956635659"
41,5,"730416280074584175","950446784310812733"
56,3,"658340357070782488","949050648186486814"
16,5,"838677597017604096","949050648186486814"
220,5,"849884930480799745","949050648186486814"
120,1,"583696855838359583","950446784310812733"
620,7,"814453163238490153","949050648186486814"
1,2,"776812655439642655","907628929714626610"
151,1,"672052959839780874","915325919286140958"
141,2,"897919320569561149","915325919286140958"
202,5,"937793355260252180","933000357045485621"
1,1,"884748107781406780","949050648186486814"
1,3,"883000575120261120","939171507005968414"
93,4,"522248022357442560","938999503724355594"
606,8,"770659954759434260","949050648186486814"
37,2,"798189072967139419","949050648186486814"
1,1,"655367100486909985","949050648186486814"
122,4,"749046835401850892","907628929714626610"
128,4,"736912644765778012","907628929714626610"
51,1,"771754004111032382","907628929714626610"
283,5,"583727782085918731","819641811558465536"
220,2,"780029541862866995","949050648186486814"
219,4,"767003719115472996","949050648186486814"
312,6,"920355868795629648","949050648186486814"
81,1,"891303339197878302","907628929714626610"
368,5,"801510358216474624","859385533696573470"
20,4,"793907899201093683","859385533696573470"
92,1,"784806629077549056","949050648186486814"
60,1,"352741198282096641","950446784310812733"
286,3,"931870926797160538","907628929714626610"
61,1,"799367174266290216","950446784310812733"
457,6,"941031367901335622","935287972327206953"
100,6,"790892278918807562","935287972327206953"
343,6,"796062466802712608","949050648186486814"
53,4,"722167743901859840","949050648186486814"
73,2,"920350440837759046","933000357045485621"
255,3,"921813846522494996","925729625580113951"
150,3,"921813846522494996","921412191742226462"
44,2,"882834918990823454","951563454618169414"
146,1,"783689789165273109","951563454618169414"
104,1,"949778956545044500","951563454618169414"
171,3,"904262503712841748","951563454618169414"
270,14,"837044499346620448","925729625580113951"
158,2,"928755279921807451","951563454618169414"
1,1,"934076006468309072","951563454618169414"
16,1,"835997973333934140","951563454618169414"
1,3,"824378909985341451","949050648186486814"
51,1,"886231870168268830","907628929714626610"
68,1,"784735765514158090","939171507005968414"
73,2,"739134404856905789","946489548232359968"
1510,20,"744636750156267582","938999503724355594"
55,2,"913732081480253460","927429210748887110"
194,2,"788744396744556564","927429210748887110"
110,1,"875685701230940211","949050648186486814"
26,2,"803203040914964483","949050648186486814"
100,2,"583727782085918731","927277548088459284"
457,5,"751696328697970790","819641811558465536"
118,2,"759832967748517959","907628929714626610"
1523,17,"700384309663498281","938999503724355594"
128,2,"807620878849277972","939171507005968414"
256,4,"921813846522494996","952132126378172426"
105,2,"519954859164958752","907628929714626610"
318,10,"711945740775194704","949050648186486814"
291,4,"929628027716010014","949050648186486814"
1,5,"770659954759434260","860839735731290112"
340,4,"792085693231923220","949050648186486814"
92,6,"831061076501069845","925729625580113951"
526,6,"936222168310747147","945388044868026369"
88,4,"831061076501069845","932289801242173481"
18,1,"631475779154345984","945388044868026369"
1,1,"864160081255727114","901454832429326346"
91,1,"673622155484987454","932289801242173481"
111,1,"782522807396990997","853213297973264414"
1,10,"505414825505980419","907628929714626610"
468,12,"610839553548222500","952325460694540308"
895,11,"606956206463909899","952325460694540308"
279,12,"716338152217772083","952325460694540308"
23,3,"422022707560054795","910508340835143693"
269,3,"731584662287286312","925729625580113951"
90,1,"259417704463597573","840527584009912360"
46,1,"909037595986624512","952256028119023716"
30,3,"952576564527251487","907693128859934771"
1,6,"909037595986624512","952583994287984700"
114,4,"952576289523511346","952583994287984700"
18,3,"179632268929662976","936022428776292364"
132,4,"775445883952431164","907628929714626610"
233,4,"876536503533178990","949050648186486814"
477,6,"788047919932375070","945098365459386439"
22,8,"722586198350233690","938999503724355594"
1,3,"869987485109870641","803697848163631105"
206,6,"949774235071549471","942153841451864125"
797,8,"942822411257147403","942153841451864125"
171,5,"949352473615806464","952647118332506153"
86,1,"898244956022525972","935287972327206953"
1,2,"948011550285897728","942153841451864125"
74,2,"951569483217125436","942153841451864125"
26,1,"512988249380093962","942153841451864125"
51,2,"807637924267032646","942153841451864125"
30,1,"885221655457173516","942153841451864125"
21,1,"560473801377316884","942153841451864125"
49,3,"822128730108461116","942153841451864125"
1,1,"871866854535221279","942153841451864125"
117,2,"847467891225264165","942153841451864125"
1,1,"885771398994329610","942153841451864125"
