"guildid","channelid"
"925729625580113951","949607642710568970"
"906867698447822889","978678297821065226"
"947853231495721030","949395317743308840"
"958290691212050455","958310036608794654"
"961971433486041198","961986475648512002"
"940569469409968139","962380744141963295"
"932693214996090894","957212243047645184"
"943483956664356894","943491512367472760"
"918191764312051793","966810194849959936"
"966811756376776724","970656596990517348"
"970706615441449020","970719265323888640"
"968162980946673756","971729482006290522"
"967509883727527956","972041429918568458"
"877291515838361690","972542363811606528"
"918239520137310249","972954024921927780"
"972955164501749790","972955694682759229"
"966978675251744779","973151634320404501"
"676115729124425737","1004525430008717462"
"968517772365676565","968517774899027992"
"975513831394648074","975528477556084746"
"963099143268626432","963384104034914324"
"964960515552059442","964969423763013642"
"976101529733955634","976101532535783520"
"975466086730436628","977547386014564362"
"770360603855421450","977672978953297961"
"965566481322606592","977853015740522556"
"968909601422573638","974028426195382272"
"966836267100823592","969885485134647317"
"858385174663266304","959546723829706792"
"973984199545602148","973984201336586357"
"982357657778282506","982571137429028916"
"969229021244178462","969229021575512095"
"986265753005199390","986265754913607693"
"984928443173068880","988191023144525844"
"984828890755268639","991202194370089000"
"978345087912280104","991309234350346260"
"992167006033956874","992167641089310750"
"992503794338381924","992520419028516905"
"973289734057132092","988799715292360744"
"994332164768403596","994459340171915264"
"920968061526364210","967482199043616768"
"836132315809316878","1000012157838176348"
"1000366079211753552","1000408885171073044"
"996816540806696980","996849562536910958"
"909422299587964988","1001489086894329856"
"997188963074834563","1002973166613827695"
"999561154655440928","1003601271879630868"
"984083592110039120","1003961345756102718"
"1003073337116860468","1003081585064673331"
"1004788904249016461","1004857394272141374"
"959783558787006465","1006605487086776412"
"775145940020887572","1006638017022271568"
"996138031432089600","1008685249246527558"
"1009020828559613983","1009032349150875649"
"1000066513333661736","1000070755087822908"
"700782485876768928","1010464165787349064"
"957242463284764732","1010697402040193064"
"912454427162578964","1011659648874590208"
"988378814184820776","1000724847153905694"
"886328523701223504","1008149665042149376"
"1012013249723637831","1012013251573330014"
"967408995809759232","1012001113907675137"
"1012742150972252221","1012743708321529957"
"902646143303954562","1013892426169057372"
"983348899525828638","1008416764448747563"
"768228694736371732","1018124164223213569"
"683059539054297159","772465453292716092"
"1003577766173753374","1003606590542327828"
"1015927306130300958","1015987479976869929"
"1014943899904639116","1020373550831509715"
"1020315515111100476","1020660219472257094"
"1019243091267424287","1019332841760378950"
"1021448806979620895","1021529676390350900"
"983409995720822804","1020724817026097263"
"810089469314990101","1022187534979186750"
"1008758902990569562","1008873260517179454"
"1020719124478968019","1022602226658721792"
"1022911474806567053","1022911475603480686"
"1023539601920507904","1023550883939745923"
"1021068592353124454","1021480030037094410"
"1019597631128870962","1025386260589711360"
"950783169756549170","1002292241009737758"
