"guildID","aktion","warnanzahl"
"943483956664356894",Timeout,3
"882684482551943178",Timeout,3
"925729625580113951",Timeout,3
"953379025311641640",Timeout,1
"933706031517802536",Timeout,3
"965566481322606592",Kick,3
"925729625580113951",Kick,5
"925729625580113951",Ban,10
"973267734597087272",Timeout,3
"918191764312051793",Timeout,3
"960155309589016618",Timeout,2
"966811756376776724",Timeout,3
"965566481322606592",Timeout,2
"975128752742875156",Timeout,3
"950446690802995220",Kick,10
"969657096570302514",Timeout,3
"983076509629677618",Timeout,3
"983076509629677618",Kick,10
"984083592110039120",Timeout,5
"973890179892936744",Timeout,3
"973890179892936744",Ban,4
"960991044302946354",Timeout,1
"973890179892936744",Timeout,1
"973890179892936744",Timeout,2
"796793045516681257",Timeout,1
"989875687412346940",Timeout,2
"853662631130300458",Timeout,2
"777886844334505995",Timeout,2
"777886844334505995",Ban,6
"988321667522629683",Kick,2
"988321667522629683",Ban,3
"978345087912280104",Timeout,3
"978345087912280104",Kick,6
"978345087912280104",Ban,7
"960991044302946354",Timeout,2
"971441719222599720",Timeout,5
"989961082833608795",Timeout,5
"923763667747635271",Timeout,3
"923763667747635271",Kick,5
"944785491956477952",Timeout,2
"944785491956477952",Kick,4
"944785491956477952",Ban,5
