"guildID","channelID","emoji"
"925729625580113951","965596069419429949",upvote:965318994200514641
"925729625580113951","965596069419429949",downvote:965319042812493834
"911689408795774986","972911158480736287",✅
"911689408795774986","972911158480736287",❌
"743767102971707453","926413912054845511",<a:VoteYes:973964070095036477>
"743767102971707453","926413912054845511",<a:VoteNo:973964092559736882>
"743767102971707453","974910985934610482",<:one:973964325096161402>
"743767102971707453","974910985934610482",<:two:973964388740501514>
"966811756376776724","973916216169201684",<:VoteYes1:970687608881549362>
"950446690802995220","972603891390775326",🤔
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👎
"942093754129600572","962995950673068032",👍
"942093754129600572","976900252932124692",👍
"942093754129600572","976900252932124692",👎
"646045583093530635","966356644659351622",👍
"796793045516681257","946389994321350676",💡
"950446690802995220","972603891390775326",😋
"968909601422573638","974380771416629359",<:HC_UMFRAGE_ja:978633930985054258> <:HC_UMFRAGE_nein:978633953336500254>
"968909601422573638","974380771416629359",<:HC_UMFRAGE_nein:978633953336500254>
"942093754129600572","977919381298364456",✅
"979792377352962148","980522359532449843",<:Ja:980523465591365693>
"979792377352962148","980522359532449843",<:Nein:980523466157613066>
"979792377352962148","980522742447222825",❤️
"971014014790402058","975129400402133042",<a:Hi:967672138121248790> <a:herzchen:933720245556887552> <a:pokemon_16:946815267953057882> <a:funny_dance:960581340451975248>
"971014014790402058","975129400402133042",<a:funny_dance:960581340451975248>
"984083592110039120","984487239058870322",<a:voteYES:984137505802682389>
"984083592110039120","984487239058870322",<a:voteNO:984137560790020106>
"892080636645486683","985416474816552960",<a:voteUp:962003722102276126>
"892080636645486683","985416474816552960",<a:voteDown:962003770777169960>
"966811756376776724","986701298533556254","1️⃣"
"966811756376776724","986701298533556254","2️⃣"
"966811756376776724","985867776981876746",<a:suggestion_yes:984058287945297951>
"966811756376776724","985867776981876746",<a:suggestion_no:984058301803282452>
"973289734057132092","988789683901333504",✅
"973289734057132092","988789683901333504",❌
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👎
"983347878737117254","988909610268237835","1️⃣"
"973289734057132092","990958068135260160",👍
"973289734057132092","990958068135260160",👎
"984828890755268639","985068690930278500",✅
"984828890755268639","985056859826311228",✅
"984828890755268639","985063423756869672",✅
"992167006033956874","992167641089310750",😀
"971441719222599720","991685849097961482",✅
"973291000929878087","973291000929878090",🐍
"984928443173068880","988068644007333898",<:snail_upvote:995846310940917771>
"984928443173068880","988068644007333898",<:snail_downvote:995846309552595024>
"994332164768403596","994536965645021244",<a:verifygreen:996336302079356978>
"994332164768403596","994537049208135781",<a:verifyred:996340366645133364>
"994332164768403596","994537190518431824",<:check:996338306252021830>
"994332164768403596","994344077543882772",<:check:996338306252021830>
"994332164768403596","994344077543882772",<:unchecked:996338519750484028>
"973289734057132092","997479988662128741",🔗
"989961082833608795","989973095748075521",<:Frog_okay:994272348901478430>
"989961082833608795","989973095748075521",<a:FroschNein:994272351845875863>
"973289734057132092","973289734304575584",👍
"973289734057132092","973289734304575584",🤔
"973289734057132092","973289734304575584",👎
