"guildID","channelID","zahl"
"962273723786874890","962273725171003407",0
"743767102971707453","962796368836067430",425
"933706031517802536","960227772192653332",1717
"964857694609616906","964870683068891146",10
"953379025311641640","964736342112206848",8
"925729625580113951","963062026173816882",1795
"968586119207845888","968949681742839868",1
"933706031517802536","960227772192653332",1717
"892080636645486683","903907597319561236",152
"968162980946673756","968162983056379920",829
"966811756376776724","966962195067994122",1478
"877291515838361690","972544219522686987",223
"966978675251744779","972966325439848508",320
"968517772365676565","968517773653319689",58
"965566481322606592","975374698999336970",387
"973496253658849300","976354983647801344",158
"646045583093530635","977299572823048192",11
"973984199545602148","973984200506114139",28
"897900673931284530","978985089922904064",36
"896713953412001793","980245523346898984",646
"980820559065661511","981085260861300737",329
"984083592110039120","984128676394332221",277
"984828890755268639","984832408190861362",546
"986265753005199390","986283098192900167",3
"952132126378172426","952132126973788174",0
"977632897840349204","988084877280809020",86
"974804274414497802","974941973398061056",40
"981988517594923008","981988518047940652",2
"973289734057132092","973296287501930506",52
"983347878737117254","988909610268237835",0
"992167006033956874","992167641089310750",1
"971441719222599720","991685849097961482",28
"973890179892936744","986535566839537704",42
"994332164768403596","994343583933018195",327
"994637056192032768","994884227730518036",8
"962405929779867718","988882839334428773",13
"973291000929878087","982681947249713232",10000
"960991044302946354","995607924552503436",145
"996816540806696980","996816541645545517",0
"997609301617156187","997620483044421653",135
"997495642823872654","997608875056439388",25
"956229444761161758","996068972527104101",31
