"guild_id","message","channel_id"
"933706031517802536",GG %member! Du bist nun zu %level% cool! Mach weiter so!,Normal
"970045236841697390","Herzlichen Glückwunsch {user}, du hast erfolgreich Level {level} erreicht!",Normal
"966811756376776724",,Normal
"929442264642637834",glückwunsch %user du bist lv %level,Normal
"966978675251744779",<:Alarm:972970833494540318> **LEVELUP!** %member __du bist nun Level:__ **%level**,Normal
"984083592110039120",%member ist nun Level %level ~ HGW<a:xl_hotpinkhearts:984137919210065930>,Normal
"948310338602958888",Du hast ein neues Level erreicht herzlichen Glückwunsch🎉,Privat
"984928443173068880",%member hat Level **%level** erreicht!,Normal
"973289734057132092",Du bist ein Level aufgestiegen! 🎉,Normal
"979481422815440897",,"979673045918711819"
"925729625580113951",,"925738977422639107"
"984828890755268639",Gratuliere %member ! Du bist jetzt Level %level. Danke für deine Aktivität!,Normal
"989238450467258418",,Normal
"905892043807678504",,Normal
"994332164768403596",Glückwunsch %member! Du hast nun Level %level erreicht. Danke für deine Aktivität!,Normal
"994575472514056262","%member, du hast Level %level erreicht! Herzlichen Glückwunsch!",
"965566481322606592",,Normal
