"guildid","channelid"
"939171507005968414","939922157096542268"
"932289801242173481","952206594144366662"
"916429769007067157","940280572213886976"
"906867698447822889","978678297821065226"
"958290691212050455","958309682559221760"
"943483956664356894","943491512367472760"
"918191764312051793","970286936822513684"
"925729625580113951","926492845316141097"
"966811756376776724","970656914906173582"
"970706615441449020","970719260844380240"
"968162980946673756","971730861961670706"
"877291515838361690","967447804727402517"
"966978675251744779","973151634320404501"
"975513831394648074","975531228876902463"
"975466086730436628","977547386014564362"
"965566481322606592","977852785360007218"
"968909601422573638","974028280216838294"
"897900673931284530","978990118767562782"
"973984199545602148","973984201336586357"
"984083592110039120","984132909747306628"
"973289734057132092","988799715292360744"
"933706031517802536","960262228135792760"
"974804274414497802","985633422032654400"
"777886844334505995","990908882014593074"
"988321667522629683","988753616347201577"
"984828890755268639","991202436997980221"
"978345087912280104","987452410404421663"
"989875687412346940","989876685434400830"
"992167006033956874","992167641089310750"
"947423228933070910","992449856889159711"
"994332164768403596","994459263340646432"
"998203664822980738","999391778702622780"
"1000366079211753552","1000408885171073044"
"951776421355868231","1000682012480389220"
