"guildID","name","output"
"933706031517802536",regeln,Halte dich an die Regeln oder du bekommst Strafen!
"933706031517802536",werbung,Mache gratis alle 2 Stunden in <#972404122571636736> Werbung mit Luma Advertising! Lade den Bot hier ein: 972404122571636736
"983347878737117254",Ghost,hallo
"925729625580113951",fragen,Hast du noch Fragen oder kann das Ticket geschlossen werden?
"984928443173068880",frage,"Hast du ansonsten noch eine Frage, oder kann das Ticket geschlossen werden?"
"977632897840349204",amogus,susy
"920968061526364210",ttt,t22
"933706031517802536",fragen,Hast du noch Fragen oder kann dein Ticket geschlossen werden?
"999711820262674522",Ticket Beendung,Hast du sonst noch Fragen? Wenn nicht wird das Ticket geschlossen.
"676115729124425737",tesz,äh
