"guildid","channelid"
"925729625580113951","949607642710568970"
"906867698447822889","978678297821065226"
"947853231495721030","949395317743308840"
"958290691212050455","958310036608794654"
"961971433486041198","961986475648512002"
"940569469409968139","962380744141963295"
"932693214996090894","957212243047645184"
"943483956664356894","943491512367472760"
"918191764312051793","966810194849959936"
"966811756376776724","970656596990517348"
"970706615441449020","970719265323888640"
"968162980946673756","971729482006290522"
"967509883727527956","972041429918568458"
"877291515838361690","972542363811606528"
"918239520137310249","972954024921927780"
"972955164501749790","972955694682759229"
"966978675251744779","973151634320404501"
"676115729124425737","950509896493846629"
"968517772365676565","968517774899027992"
"975513831394648074","975528477556084746"
"963099143268626432","963384104034914324"
"964960515552059442","964969423763013642"
"976101529733955634","976101532535783520"
"975466086730436628","977547386014564362"
"770360603855421450","977672978953297961"
"965566481322606592","977853015740522556"
"968909601422573638","974028426195382272"
"966836267100823592","969885485134647317"
"858385174663266304","959546723829706792"
"973984199545602148","973984201336586357"
"982357657778282506","982571137429028916"
"969229021244178462","969229021575512095"
"984083592110039120","984132909747306628"
"986265753005199390","986265754913607693"
"984928443173068880","988191023144525844"
"984828890755268639","991202194370089000"
"978345087912280104","991309234350346260"
"992167006033956874","992167641089310750"
"992503794338381924","992520419028516905"
"973289734057132092","988799715292360744"
"994332164768403596","994459340171915264"
"920968061526364210","967482199043616768"
"836132315809316878","1000012157838176348"
"1000366079211753552","1000408885171073044"
