"msg","guildID","channelID"
Willkommen %member,"905892043807678504","934139741463531550"
Willkommen %metion! Willkommen auf BL4CKPLACE.,"961971433486041198","961978304657760286"
<a:hallo:964850085676589066> %mention hat zu uns gefunden. Schön dass du da bist!,"925729625580113951","925738977422639107"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"965566481322606592","965570350974926858"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"973267734597087272","973281091454648430"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"967055767100342324","973182053854117888"
"Willkommen in unserem kleinen Clan. Schön das du zu uns gefunden hast 🥰. Bitte sei freundlich und halte dich an die Regeln. So und nun, lebe dich erstmal ein ✌🏻","967055767100342324","973182053854117888"
%member-Member#0000 | %name-Member | %mention-@Member | Legendäre Irre | %usercount-Memberanzahl Willkommen in unserem kleinen Clan! Lebe dich erstmal ein 🥰,"967055767100342324","973182053854117888"
Willkommen in unserer kleinen Allianz! Seid freundlich untereinander und haltet euch an die Regeln. Würden uns sehr freuen wenn ihr euch kurz vorstellt. Und nun lebe dich erstmal ein %member-Member#0000 | %name-Member | %mention-@Member | Legendäre Irre | %usercount-Memberanzahl,"967055767100342324","973182053854117888"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"957359041057800213","974972145207771196"
%member-Member#0000 Welcome to  %guild-Servername |  We are now at %usercount-Memberanzahl Members,"965566481322606592","965570350974926858"
**%member** ist neu auf **%guild**! Wir sind nun **%usercount** Mitglieder!,"983413416209285190","983413416599375873"
Willkommen auf %guild-Servername %member-Member#0000 | Es sind  %usercount-Memberanzahl auf em Server ,"990671694622523392","990671694689615925"
Willkommen auf dem server von %guild  Der server hat zurzeit so vile user %usercount,"777886844334505995","990908735700471828"
"| %mention | Herzlich willkommen, beim Spektrum des Gamers. Lies dir die Regeln durch und wähle deine Selfroles. Dann kanns losgehen. Viel Spaß!!","984828890755268639","984829029779660840"
"Willkommen %mention-
du bist auf  %guild-Servername Gesund Angekommen  du bist der %usercount-Memberanzahl auf dem Server ","978345087912280104","978345087912280107"
"Willkommen %mention! Lies dir die Regeln durch, wähle deine Selfroles und dann gehts los. Viel Spaß! ","994332164768403596","994334581215989800"
"Joooooo danke das du uns beigetreten bist!!!

  ","960991044302946354","960991044797861969"
"%mention , Willkommen auf: **%guild**! Wir haben nun %usercount User!","999314010606411896","999323603118084117"
%mention ist dem Server beigetreten. Viel Spaß hier!,"998203664822980738","998248748561997854"
**Willkommen in der Gang** %mention <a:love:991252533764948008>,"999711820262674522","999711820262674525"
"Willkommen bei den Money Fighters, wir hoffen du fühlst dich wie Zuhause. Wenn du Fragen hast stehen wir gerne jederzeit zur Verfügung","996032349638774877","996032349638774879"
%mention Willkommen auf %guild !,"1000400822380798053","1000400822460481663"
"%member willkommen 👋
Bitte lese zuerst das Regelwerk in #𝚁𝚎𝚐𝚎𝚕𝚠𝚎𝚛𝚔-📚 durch!","1000557173593612408","1000561884019314778"
%member-Member#0000 | %name-Member | %mention-@Member | %guild-Servername | %usercount-Memberanzahl,"951776421355868231","1000682012480389220"
